pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_COMPLEMENT	0.736338797814208	0.736338797814208	0.0422468188360053	0.482758620689655	0.82315680998909	3	LTF S100A12 S100A9
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.00227253360113332	0.00681760080339996	0.431707695803346	0.888888888888889	1.69328452020345	5	IFIT3 MX1 IFI44L SAMD9L ISG15
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0196699879591885	0.0295049819387827	0.352487857583619	0.768630270335062	1.55328291517274	7	IFIT3 MX1 IFI44L SAMD9L ISG15 XAF1
