"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"HSC.MT-CO1",1.86114803818743e-48,0.694613050262563,0.99,0.97,4.555904282679e-44,"HSC"
"HSC.AC099560.1",2.02935279463384e-47,0.955535997249655,0.976,0.946,4.96765270598417e-43,"HSC"
"HSC.CD164",7.2554747166906e-41,0.964395697604788,0.94,0.806,1.77606765589869e-36,"HSC"
"HSC.MT-CYB",2.13150372782673e-38,0.637885468522485,0.99,0.963,5.21770797534705e-34,"HSC"
"HSC.S100A12",3.90658642549827e-35,1.66456726931073,0.467,0.179,9.5629329109772e-31,"HSC"
"HSC.LTF",9.22975208561666e-34,1.72657079555948,0.537,0.248,2.2593510130381e-29,"HSC"
"HSC.RPL29",8.98953685570955e-32,0.622799630181986,0.973,0.946,2.20054872690914e-27,"HSC"
"HSC.RPS18",1.865070790167e-31,0.638956455427596,0.988,0.981,4.5655067872498e-27,"HSC"
"HSC.MCL1",7.55881802727392e-31,1.10762331449433,0.798,0.584,1.85032306489638e-26,"HSC"
"HSC.PHLDB2",4.50394286678394e-29,3.34577537686533,0.164,0.016,1.10252017436004e-24,"HSC"
"HSC.RASAL2",5.72241622878315e-29,1.92430466808113,0.345,0.109,1.40079026864383e-24,"HSC"
"HSC.MT-ND4L",1.69290977671434e-28,1.1087751507013,0.882,0.763,4.14407384241902e-24,"HSC"
"HSC.MT2A",4.05835051323871e-28,2.90100644269035,0.405,0.171,9.93443622135703e-24,"HSC"
"HSC.CXCR4",1.36394240815683e-27,1.3794411541675,0.677,0.473,3.33879462092711e-23,"HSC"
"HSC.FOSB",3.40441915587874e-25,0.951507585434611,0.771,0.529,8.33367765167557e-21,"HSC"
"HSC.MMP9",4.79340334766733e-24,2.00848308421021,0.26,0.071,1.17337720547549e-19,"HSC"
"HSC.CAMP",1.28583733982326e-23,1.96051906906634,0.431,0.203,3.14760122415337e-19,"HSC"
"HSC.RPS5",2.46078933702223e-23,0.620582854390239,0.969,0.952,6.02376621809671e-19,"HSC"
"HSC.AREG",3.45250263203061e-23,0.718319030412887,0.836,0.612,8.45138119294773e-19,"HSC"
"HSC.BCAS3",2.49722115000044e-21,1.691118768806,0.313,0.12,6.11294765308609e-17,"HSC"
"HSC.RPL18A",4.18594693128772e-20,0.799043285698767,0.757,0.667,1.02467794930992e-15,"HSC"
"HSC.PGLYRP1",8.88797871567821e-19,1.76020111923102,0.231,0.07,2.17568830981087e-14,"HSC"
"HSC.NR4A1",9.63179073273999e-19,1.92300660715226,0.381,0.191,2.35776605346742e-14,"HSC"
"HSC.XIST",1.84668988444853e-18,1.39222546050174,0.234,0.07,4.52051216814155e-14,"HSC"
"HSC.ARHGDIB",2.70822272080639e-17,0.566966938364841,0.93,0.891,6.62945839826195e-13,"HSC"
"HSC.LINC01500",9.47097325461749e-16,1.13319316826005,0.525,0.375,2.31839954299782e-11,"HSC"
"HSC.NR4A2",1.24959388624027e-15,1.66093342949961,0.304,0.14,3.05888087412755e-11,"HSC"
"HSC.MT-ATP8",4.87868174386552e-15,0.821501077784621,0.771,0.664,1.19425250408084e-10,"HSC"
"HSC.AVP",5.76600173452347e-15,1.04082830295447,0.694,0.584,1.411459564594e-10,"HSC"
"HSC.FCN1",7.16220545110102e-15,1.68890051707178,0.217,0.077,1.75323627237502e-10,"HSC"
"HSC.MYADM",2.98560777824948e-14,1.57941321507351,0.306,0.152,7.30846928037691e-10,"HSC"
"HSC.S100A4",3.50301623249142e-14,0.794853865796159,0.687,0.575,8.57503343551574e-10,"HSC"
"HSC.MT1G",4.87268638532259e-14,4.64780310195007,0.058,0.002,1.19278490026312e-09,"HSC"
"HSC.SNHG5",1.27801911333709e-13,0.663771302773519,0.725,0.647,3.12846298753786e-09,"HSC"
"HSC.MMP8",1.93789301163267e-13,1.65574399993716,0.212,0.08,4.74376830317562e-09,"HSC"
"HSC.PFN1",4.91772928249833e-13,0.616388859756988,0.88,0.864,1.20381095106277e-08,"HSC"
"HSC.ALOX5AP",2.00826634043067e-12,1.55622017015345,0.231,0.099,4.91603517474024e-08,"HSC"
"HSC.SKIL",2.09666795428945e-12,1.54977188847916,0.255,0.118,5.13243348530515e-08,"HSC"
"HSC.LCN2",2.63744069285067e-12,1.49986827806583,0.299,0.152,6.45619107202915e-08,"HSC"
