"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"NDN_3.ORM1",5.3288106462865e-28,0.817270681928481,0.341,0.184,1.30443955810447e-23,"NDN_3"
"NDN_3.SRPK2",6.00599342995617e-28,0.877848277626453,0.316,0.165,1.47020713171897e-23,"NDN_3"
"NDN_3.NFAM1",6.07497434107085e-28,0.902138307969041,0.277,0.134,1.48709296895073e-23,"NDN_3"
"NDN_3.ADAR",8.53330954896552e-28,0.582526398079319,0.488,0.305,2.08886884449127e-23,"NDN_3"
"NDN_3.LITAF",1.45483799640275e-27,0.609086271987638,0.692,0.495,3.56129793139429e-23,"NDN_3"
"NDN_3.APOBR",1.80376838568953e-27,0.633887923958809,0.435,0.258,4.4154446313294e-23,"NDN_3"
"NDN_3.TMX4",2.32647694757972e-27,0.819782157908053,0.348,0.194,5.6949829199804e-23,"NDN_3"
"NDN_3.DDX58",3.5102410146027e-27,1.45271503980547,0.157,0.05,8.59271897964594e-23,"NDN_3"
"NDN_3.NAGK",3.56575895480882e-27,0.881371003913294,0.256,0.121,8.72862134547652e-23,"NDN_3"
"NDN_3.CSTB",5.71710798439475e-27,0.699018470225832,0.376,0.214,1.39949086349999e-22,"NDN_3"
"NDN_3.TNFSF14",6.73263975853043e-27,1.60411460175284,0.153,0.049,1.64808288649066e-22,"NDN_3"
"NDN_3.CAMP",7.3834955091023e-27,0.607623237969756,0.783,0.631,1.80740586567315e-22,"NDN_3"
"NDN_3.P2RY13",1.35177946497407e-26,0.829726443041585,0.408,0.249,3.30902095231002e-22,"NDN_3"
"NDN_3.EHD1",1.45431855326454e-26,0.518235830834592,0.382,0.215,3.56002638653626e-22,"NDN_3"
"NDN_3.SHISA5",2.33555568350068e-26,1.37356022112726,0.178,0.067,5.71720675764131e-22,"NDN_3"
"NDN_3.CD46",4.94093109527439e-26,0.575057382771023,0.505,0.324,1.20949052281222e-21,"NDN_3"
"NDN_3.CASS4",5.39293503285139e-26,2.85687714136258,0.095,0.016,1.32013656669169e-21,"NDN_3"
"NDN_3.RASSF3",7.56078607493023e-26,1.1530728258116,0.225,0.101,1.85080482328217e-21,"NDN_3"
"NDN_3.ZBP1",8.11040313253703e-26,1.69124419703217,0.123,0.032,1.98534558281374e-21,"NDN_3"
"NDN_3.OAS3",9.0563782179451e-26,4.92141452631556,0.067,0.002,2.21691082397078e-21,"NDN_3"
"NDN_3.KCTD12",2.0339957397609e-25,0.892094431440344,0.24,0.111,4.97901817136072e-21,"NDN_3"
"NDN_3.TMEM38A",2.72846680155313e-25,1.17859916564107,0.176,0.066,6.6790138835219e-21,"NDN_3"
"NDN_3.DDX60L",3.48685619257768e-25,0.74242273475107,0.337,0.191,8.53547527381091e-21,"NDN_3"
"NDN_3.OAS2",3.56779875441497e-25,5.65528308375093,0.065,0.002,8.73361457093241e-21,"NDN_3"
"NDN_3.MARCKSL1",3.77636864974278e-25,1.80848085253661,0.096,0.017,9.24417281770536e-21,"NDN_3"
"NDN_3.CHST15",7.32892310260409e-25,1.52963003629574,0.152,0.053,1.79404708628646e-20,"NDN_3"
"NDN_3.RUBCNL",1.54620043781735e-24,3.28943647293579,0.072,0.006,3.78494405173308e-20,"NDN_3"
"NDN_3.GBP2",1.9534995815518e-24,3.00742057056773,0.079,0.009,4.78197162568064e-20,"NDN_3"
"NDN_3.LUCAT1",2.78632055251885e-24,4.08952628114915,0.076,0.008,6.82063408051089e-20,"NDN_3"
"NDN_3.GPR84",4.1578995873193e-24,0.988486146912947,0.2,0.086,1.01781223997989e-19,"NDN_3"
"NDN_3.RPS6KA5",4.19051365352746e-24,1.13076565351509,0.197,0.084,1.02579583724699e-19,"NDN_3"
