"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"NDN_1.ADGRE5",5.3361621299282e-20,1.50672228478956,0.2,0.098,1.30623912778512e-15,"NDN_1"
"NDN_1.MYADM",4.90712611999996e-19,1.01267052857574,0.351,0.248,1.20121540291479e-14,"NDN_1"
"NDN_1.CLEC4E",5.41995738214182e-19,0.677515104569269,0.492,0.389,1.3267513675745e-14,"NDN_1"
"NDN_1.RAB11FIP1",1.80890431242204e-18,0.990144837191545,0.315,0.208,4.42801686637791e-14,"NDN_1"
"NDN_1.RILPL2",4.3349099560272e-18,0.850256432184409,0.415,0.322,1.0611426081359e-13,"NDN_1"
"NDN_1.MBNL1",5.31677378810238e-18,0.566834996246596,0.572,0.482,1.30149305558958e-13,"NDN_1"
"NDN_1.RNF144B",9.29427058918861e-18,0.815617399050928,0.288,0.176,2.27514449752748e-13,"NDN_1"
"NDN_1.VNN2",6.61337954681018e-17,3.45648262326312,0.065,0.01,1.61888917926366e-12,"NDN_1"
"NDN_1.TPM1",3.81746941723521e-16,1.16383565871528,0.248,0.157,9.34478338645007e-12,"NDN_1"
"NDN_1.RGCC",4.81234412993801e-16,0.916147800989339,0.329,0.233,1.17801371956753e-11,"NDN_1"
"NDN_1.RNF145",6.65979881404976e-16,0.611398246434992,0.44,0.344,1.63025215169124e-11,"NDN_1"
"NDN_1.CCL4",1.25502732530116e-15,3.86854579148101,0.051,0.006,3.07218138960471e-11,"NDN_1"
"NDN_1.ATP2A3",6.69437863926109e-15,0.910286594263255,0.308,0.224,1.63871694710472e-10,"NDN_1"
"NDN_1.DUSP6",1.49654684160166e-14,1.24491773680035,0.185,0.101,3.6633970135567e-10,"NDN_1"
"NDN_1.WTAP",7.58316668564147e-14,0.54501801028237,0.485,0.404,1.85628337297817e-09,"NDN_1"
"NDN_1.FAM107B",2.78395589889796e-13,0.574151892952473,0.48,0.416,6.81484564491232e-09,"NDN_1"
"NDN_1.SLC11A1",7.74240078256327e-13,0.913855640603464,0.176,0.097,1.89526228756366e-08,"NDN_1"
"NDN_1.KCTD12",9.82919256081481e-13,1.51787794129852,0.139,0.071,2.40608804696186e-08,"NDN_1"
"NDN_1.CCL5",1.96306507196113e-12,1.95169490085583,0.06,0.015,4.80538698965364e-08,"NDN_1"
"NDN_1.ELL2",2.15271925824767e-12,1.08900679212968,0.23,0.153,5.26964147226447e-08,"NDN_1"
"NDN_1.GJB6",3.70956927554631e-12,1.57762189448281,0.092,0.036,9.08065462960981e-08,"NDN_1"
"NDN_1.C16orf54",4.69106742184731e-12,1.29298409581526,0.156,0.087,1.148326394194e-07,"NDN_1"
"NDN_1.FAM102B",4.94799769968818e-12,0.898665980059769,0.25,0.171,1.21122035690667e-07,"NDN_1"
"NDN_1.VNN3",4.23985840123799e-11,1.82780837968319,0.083,0.033,1.03787493803905e-06,"NDN_1"
"NDN_1.YPEL5",5.2900815252278e-11,0.511119305090337,0.437,0.375,1.29495905656051e-06,"NDN_1"
"NDN_1.ATG2A",1.77924451657758e-10,1.40857972391014,0.137,0.076,4.35541265213026e-06,"NDN_1"
"NDN_1.ARPC1B",2.00522787044801e-10,1.12899831257333,0.171,0.106,4.90859730406969e-06,"NDN_1"
"NDN_1.PIK3CG",2.7938297305358e-10,0.711495800144365,0.32,0.253,6.83901579737858e-06,"NDN_1"
"NDN_1.CD74",3.63090116901971e-10,0.662329803258217,0.278,0.207,8.88808297164335e-06,"NDN_1"
"NDN_1.TOB1",6.9872716661018e-10,0.84108753802283,0.206,0.137,1.71041423114506e-05,"NDN_1"
"NDN_1.ASAH1",1.48262365177139e-09,0.508148163865014,0.423,0.359,3.62931443717118e-05,"NDN_1"
"NDN_1.SGMS2",1.61161288551613e-09,0.880998148837765,0.146,0.085,3.94506718245493e-05,"NDN_1"
"NDN_1.TMEM160",2.69695865095523e-09,0.859933438623774,0.189,0.123,6.60188508167332e-05,"NDN_1"
"NDN_1.ABHD5",4.45794342878376e-09,0.538167256873528,0.502,0.475,0.000109125997193198,"NDN_1"
"NDN_1.CD52",7.99236420360953e-09,1.29555727375171,0.073,0.03,0.000195645083340158,"NDN_1"
"NDN_1.CXCL8",1.01188432426547e-08,1.38691429755468,0.104,0.054,0.000247699163736945,"NDN_1"
"NDN_1.ZRANB1",1.18357245726266e-08,0.991702198519085,0.161,0.104,0.000289726701813327,"NDN_1"
