,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Cdo1,0,3.20033573239825,0.922,0.339,0
Hrsp12,0,3.47565970378052,0.918,0.341,0
Chchd10,0,3.10813555886133,0.976,0.408,0
Ddt,0,3.15846270709368,0.936,0.37,0
Car3,0,3.15734032670972,0.971,0.415,0
Gsta3,0,2.93171640018136,0.95,0.394,0
Ttc36,0,2.85236126136587,0.941,0.394,0
Ass1,0,3.46751814966188,0.977,0.432,0
Bhmt,0,3.33500084900703,0.986,0.487,0
Aldob,0,3.08139861609668,0.985,0.507,0
Apoc4,0,2.40269407189178,0.974,0.499,0
Serpina1b,0,2.28816997262687,0.99,0.531,0
Apoc3,0,2.47845108044197,0.99,0.605,0
Scp2,0,2.58780466658756,0.994,0.741,0
Fabp1,0,3.22042328192886,0.997,0.759,0
Apoc1,0,2.54033488770319,0.996,0.778,0
Dbi,0,2.52418498757514,0.991,0.784,0
Fbp1,2.96660024018648e-306,3.03756540778472,0.934,0.381,4.86937763424209e-302
Gnmt,1.63061514446613e-303,2.85070668046995,0.96,0.432,2.6764916981267e-299
Wfdc21,2.15565979119191e-302,2.70183564188206,0.955,0.4,3.5382999812624e-298
Apoa2,6.39897905692728e-301,2.18811000318007,0.995,0.712,1.05032842240404e-296
Uqcrq,7.22721616784705e-299,2.12443468875498,0.968,0.702,1.18627526179042e-294
Gpx1,3.44150400128347e-297,2.07359568047034,0.987,0.727,5.64888466770668e-293
Cyb5a,1.04717247438194e-296,2.13075482650095,0.976,0.754,1.71882889945051e-292
Phyh,2.93928896195281e-288,2.85602477549525,0.915,0.356,4.82454890214935e-284
Fth1,4.1062555558757e-288,1.73167494638556,0.999,0.94,6.74000786941438e-284
Hmgcs2,6.51203907169139e-286,2.76543579998451,0.927,0.392,1.06888609322742e-281
Serpina1c,4.22962409219247e-285,2.20138247461841,0.992,0.584,6.94250498492472e-281
Uox,2.39468775803633e-281,2.58021811664611,0.937,0.374,3.93064048604082e-277
Arg1,7.22585009865024e-280,2.9690931121366,0.907,0.349,1.18605103519245e-275
Hpd,2.80966865389536e-279,2.43961438975507,0.952,0.415,4.61179012850384e-275
Serpina1a,1.76605837956706e-271,2.04891993383162,0.99,0.527,2.89880822422136e-267
Prdx1,2.68835591996434e-268,1.67589603974021,0.995,0.91,4.41266740702947e-264
Ttr,6.24736175638831e-268,2.03890481282886,0.994,0.655,1.02544195869358e-263
Acaa2,4.91337348816897e-267,2.77009550707094,0.896,0.391,8.06481124348055e-263
Gstm1,1.15355062739756e-266,2.79321286182513,0.931,0.553,1.89343799981036e-262
Prdx6,2.63042113246551e-260,2.69229295382012,0.889,0.359,4.31757324682889e-256
Adk,7.34129109590323e-258,2.80585554306941,0.879,0.341,1.20499952048156e-253
Akr1c6,1.3711795412779e-255,2.62167158984451,0.912,0.355,2.25065409905355e-251
Rbp4,2.17710243079492e-255,1.8963975581213,0.982,0.568,3.57349592990678e-251
Mgst1,5.22784571062004e-246,1.95734358880638,0.985,0.598,8.58098594941173e-242
Urah,3.60054981843382e-241,3.03241730799214,0.829,0.249,5.90994247197727e-237
Acaa1b,2.04861000646863e-238,2.12805981817722,0.952,0.469,3.36258846461761e-234
Ndufa4,4.76480085239088e-230,1.52247631115196,0.964,0.811,7.82094411911439e-226
Serpina1d,2.44359033794802e-227,2.00057768852947,0.951,0.447,4.01090918070788e-223
Otc,4.43111694211074e-227,2.88647233835392,0.825,0.249,7.27323534878057e-223
Sephs2,5.70304403643241e-226,2.31100969848015,0.887,0.362,9.36097648140016e-222
Mdh1,4.22727965656203e-225,2.44241627460003,0.863,0.395,6.93865682828092e-221
Atp5g1,4.60353511385744e-223,2.03918430072688,0.903,0.549,7.5562425358856e-219
Hist1h2bc,1.00041096199942e-221,2.8202117807563,0.819,0.287,1.64207455302585e-217
Gapdh,4.04945873840921e-217,2.29471001365738,0.864,0.532,6.64678157322488e-213
Gstp1,5.65777079602622e-215,3.22697262594847,0.862,0.365,9.28666498459744e-211
Gstp2,2.71214412338533e-213,3.03408634931536,0.853,0.323,4.45171336412468e-209
Mup3,1.56034219676444e-211,1.89557407210999,0.992,0.621,2.56114568176915e-207
Etfb,4.95830783178389e-210,2.13616510187556,0.863,0.501,8.13856647509008e-206
Msrb1,3.79233880630449e-208,2.27213712529073,0.854,0.427,6.22474491666819e-204
Chchd2,1.56873139222335e-206,1.39403539973851,0.968,0.828,2.57491570719541e-202
Pcbd1,5.61794185420436e-206,2.96138466454695,0.775,0.225,9.22128975949104e-202
Ephx2,2.06969976105988e-197,2.86901818920351,0.772,0.224,3.39720518780369e-193
Ftl1,3.12646568598589e-197,1.14779489410763,1,0.992,5.13178077697725e-193
Mpc1,1.01495948826659e-194,2.3406885396054,0.826,0.387,1.66595450404078e-190
Angptl3,3.22793921457206e-190,2.56099493642173,0.792,0.274,5.29833942679858e-186
Atp5b,5.67665472734154e-189,1.79916862983476,0.895,0.639,9.3176610694584e-185
Hibadh,6.5954135401125e-188,2.84914489741511,0.752,0.209,1.08257117847407e-183
Cox7b,5.60740766681112e-187,2.06299113460827,0.846,0.46,9.20399894430377e-183
Apoa1,2.16165842111141e-186,1.58951376180888,0.986,0.623,3.54814613241226e-182
Acat1,2.50768977451668e-186,2.98340781304386,0.743,0.212,4.11612199589168e-182
Mup20,6.02512745343717e-185,1.97906215406569,0.981,0.648,9.88964420207177e-181
Ndrg2,1.03314954602729e-183,1.99512626845016,0.848,0.373,1.69581166484919e-179
Atp5j,2.21946134519793e-183,1.46946145535177,0.928,0.709,3.64302385200787e-179
Gstz1,6.86491084772647e-183,2.47012799838197,0.783,0.283,1.12680646654582e-178
Mpc2,1.95726934239999e-178,2.27425494937747,0.802,0.373,3.21266189861534e-174
Gc,8.08730579764497e-176,1.7629805889081,0.915,0.443,1.32745037362545e-171
Adh1,1.25095085719233e-175,2.80852873765147,0.749,0.267,2.05331073699549e-171
Cat,2.45720757219769e-175,1.33724200772521,0.885,0.481,4.03326050900528e-171
Cox6b1,1.6513584766127e-172,1.4828491703205,0.916,0.659,2.71053980351209e-168
Uqcr11,8.58381687720813e-172,1.42108587883402,0.923,0.708,1.40894770222494e-167
Fabp2,4.45760046093247e-171,2.955382655263,0.718,0.187,7.31670539657456e-167
Aldh2,1.20922000714443e-169,1.55306259090605,0.918,0.671,1.98481371972686e-165
Rgn,1.97663002203156e-167,2.85989012871676,0.738,0.248,3.24444051816261e-163
Orm1,2.76732809225162e-167,2.19268352946372,0.801,0.319,4.54229233062181e-163
Atp5k,1.32566802942356e-166,1.67153352679634,0.868,0.578,2.17595150349583e-162
Hgd,7.85742265574744e-166,2.70366203822133,0.726,0.224,1.28971735471438e-161
Pecr,6.29665099464186e-165,2.79608095239532,0.709,0.187,1.03353229426051e-160
Ech1,1.27325636059466e-164,2.31046022476473,0.775,0.309,2.08992299028007e-160
Atp5e,4.4881873381537e-164,1.6317347343998,0.869,0.614,7.36691069684549e-160
Glo1,4.87865382663916e-161,1.9455942070446,0.807,0.37,8.00782239104551e-157
Tst,6.91916240432921e-161,2.9547928716756,0.684,0.172,1.1357113170466e-156
Nme2,1.4665804713599e-160,1.53922558517226,0.889,0.621,2.40724518569014e-156
Stard10,5.48304788031416e-160,2.04815469905004,0.781,0.316,8.99987479074767e-156
Cox6c,3.31409617597598e-158,1.23948041225972,0.937,0.776,5.43975746324697e-154
Inmt,7.44342789496231e-157,2.55390969070962,0.719,0.242,1.22176425467911e-152
Cycs,3.97430578672589e-156,1.88458833578764,0.815,0.469,6.52342551833187e-152
Mat1a,1.05408651697833e-155,1.69521535771674,0.84,0.366,1.73017760896822e-151
Hspe1,3.51238570458721e-154,1.84392571813506,0.815,0.428,5.76522989550944e-150
Gchfr,3.55905394004165e-154,2.17901204372685,0.762,0.323,5.84183113718436e-150
Uqcrb,8.42249330950168e-154,1.47105226733253,0.895,0.679,1.38246805182161e-149
Atp5j2,1.52524006920674e-152,1.42067330417581,0.894,0.65,2.50352904959594e-148
Etfa,1.93415368184515e-152,2.52345485681126,0.712,0.243,3.17471985338063e-148
Hebp1,4.25975575763967e-150,2.3454670978832,0.721,0.273,6.99196310058975e-146
Cth,1.30029323953999e-149,2.2697173294517,0.731,0.241,2.13430132338094e-145
Hadh,3.59853101318922e-149,2.98901921779635,0.65,0.163,5.90662880504878e-145
Atp5d,4.95439591795204e-149,1.75285732199137,0.817,0.48,8.13214545972648e-145
Gcdh,1.47923677793154e-145,2.49163210144172,0.695,0.22,2.42801924729684e-141
2010107E04Rik,1.55556193410775e-142,1.55191849091481,0.853,0.579,2.55329935864446e-138
Sord,1.11063080154054e-141,2.13660992740033,0.734,0.29,1.82298939764865e-137
