,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Psme1,3.90636675135117e-33,1.13365515105983,0.345,0.26,6.41191038566781e-29
Ahsa1,6.08773874241804e-33,1.23766323365943,0.309,0.225,9.99241437180497e-29
Mrpl16,8.13163870932595e-33,1.4878610580026,0.202,0.117,1.33472717774876e-28
Phb,1.75845676704562e-32,1.11278860953,0.385,0.317,2.88633093742868e-28
Mrpl32,1.93728444013921e-32,1.42351827398383,0.215,0.13,3.1798586800445e-28
Chchd3,2.3946156876785e-32,1.29156434193191,0.283,0.197,3.93052218975549e-28
Prorsd1,2.56017249554001e-32,1.4449061368252,0.211,0.126,4.20226713417937e-28
Aprt,3.82732300180905e-32,1.3659391031007,0.229,0.143,6.28216797516938e-28
Stoml2,6.71249269134549e-32,1.31572120549255,0.248,0.163,1.10178855035745e-27
Rps19bp1,8.14378043247468e-32,1.49342461389251,0.208,0.125,1.33672012018639e-27
Timm17b,1.61539198747703e-31,1.3085883749221,0.245,0.16,2.6515044082448e-27
Immp2l,2.97502448511704e-31,1.60167246677933,0.211,0.129,4.88320518987111e-27
Coa6,9.93727113512291e-31,1.42885310578803,0.239,0.157,1.63110368411907e-26
Eif3k,1.80331024928465e-30,1.05788097667361,0.335,0.254,2.95995344317583e-26
Timm10b,3.15637120481572e-30,1.12793915520095,0.34,0.263,5.18086769558452e-26
Mrpl36,3.33119157036353e-30,1.21669429126614,0.271,0.187,5.46781784359471e-26
Tmem134,3.61993359693755e-30,1.21996037109142,0.332,0.256,5.9417590060133e-26
Rnh1,7.25731405856382e-30,1.28645453190065,0.261,0.178,1.19121552957267e-25
0610009B22Rik,9.1754540889992e-30,1.40053849856138,0.237,0.155,1.50605903416833e-25
Csnk2b,1.71262350390664e-29,1.19067328491005,0.274,0.191,2.81110021931235e-25
Psma1,1.76616053944881e-29,1.00737494103713,0.391,0.329,2.89897590945128e-25
Qprt,1.8210096194867e-29,1.47410174501197,0.228,0.147,2.98900518942548e-25
Ube2n,2.74102440880975e-29,1.17147503548641,0.29,0.209,4.49911746462033e-25
Tmem261,2.80743590463921e-29,1.41807475459499,0.218,0.138,4.6081252938748e-25
Timm23,3.17545174940677e-29,1.00954918953785,0.409,0.356,5.21218650147627e-25
Fuom,3.46089051292752e-29,1.44305548036397,0.218,0.138,5.68070568791922e-25
Prdx3,6.93729923308492e-29,1.06487180993653,0.393,0.337,1.13868829611856e-24
Trap1,1.69177528000758e-28,1.4167055092194,0.256,0.178,2.77687994460444e-24
Cdc37,2.83802100862092e-28,1.12879614487195,0.272,0.19,4.65832768355038e-24
Acp1,2.9751061315303e-28,1.05127481736801,0.368,0.304,4.88333920429383e-24
1810022K09Rik,8.93314390751554e-28,1.24132754451772,0.228,0.147,1.4662862409796e-23
Eif4e2,3.71465686709905e-27,1.2826865475095,0.234,0.155,6.09723778165638e-23
Pyurf,4.72612881493788e-27,1.30507399385716,0.252,0.175,7.75746783683903e-23
Decr2,5.27114902950444e-27,1.20196053552928,0.308,0.238,8.65206401702859e-23
Idnk,7.17704349384083e-27,1.26645591095607,0.221,0.143,1.17803991907903e-22
Polr1d,9.50603466661299e-27,1.01838069967219,0.36,0.297,1.56032053017786e-22
Pfdn2,1.01913086144799e-26,1.05755978415396,0.326,0.254,1.67280139598074e-22
Dctpp1,1.36494054241601e-26,1.40057322934798,0.246,0.172,2.24041340632163e-22
Mrpl38,1.36741363348282e-26,1.27652256665038,0.267,0.191,2.24447273799871e-22
Atg3,2.91928589129277e-26,1.07876820929413,0.356,0.298,4.79171586196795e-22
Commd3,3.5885042988692e-26,1.08314325064767,0.33,0.261,5.8901709561639e-22
Snf8,3.5892212296351e-26,1.16805315110227,0.286,0.211,5.89134772632305e-22
Polr2j,4.06787667834052e-26,1.27466688992642,0.247,0.17,6.67701277982813e-22
Psmd6,1.46838632222195e-25,1.25341994306416,0.259,0.185,2.41020930929511e-21
Cript,3.36596455362772e-25,1.15083548146653,0.271,0.196,5.52489421832454e-21
Wdr61,4.44286630553656e-25,1.1356799978142,0.29,0.217,7.29252075390772e-21
Ccdc58,5.05231687455225e-25,1.50725908870558,0.21,0.139,8.29287291789006e-21
Fam103a1,1.20789864577543e-24,1.0903714830479,0.285,0.211,1.9826448371758e-20
Coq7,1.74520544618497e-24,1.27492646132446,0.241,0.169,2.86458021936801e-20
Vps29,1.98092112936991e-24,1.00613166053077,0.248,0.17,3.25148394174777e-20
Smlr1,2.79005655629822e-24,1.25245978586666,0.289,0.224,4.5795988315079e-20
2810428I15Rik,2.87730295016489e-24,1.03327478568163,0.329,0.261,4.72280506240066e-20
Mrps17,3.98841099259186e-24,1.10346895593392,0.303,0.234,6.54657780324027e-20
Sf3b5,4.37773662708449e-24,1.1938627916848,0.218,0.144,7.18561689969648e-20
Polr2f,1.14484743147493e-23,1.13856847747783,0.269,0.197,1.87915257402295e-19
Elof1,1.30709953612267e-23,1.28953942713882,0.227,0.157,2.14547317859175e-19
Gss,1.68254006170344e-23,1.28869670697695,0.246,0.177,2.76172125728002e-19
Selenbp2,4.71488285386382e-23,1.50238545150103,0.367,0.316,7.73900871633207e-19
