,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Igfbp7,3.1147394796303e-282,2.5528239996252,0.569,0.096,5.11253338186517e-278
Tmsb4x,4.28768244833072e-277,3.10686863934513,0.656,0.164,7.03780197069005e-273
Aqp1,6.63855167999296e-245,2.42798800222995,0.528,0.095,1.08965187275404e-240
Sparc,1.68592607516146e-243,2.54675493956329,0.496,0.082,2.76727905977001e-239
Ptprb,9.84938325261215e-241,2.60197738437274,0.493,0.083,1.61667776708376e-236
Clec4g,5.02853690585931e-238,2.15856520055601,0.521,0.092,8.25384047727747e-234
Dnase1l3,2.20802148748656e-231,2.40727864143384,0.496,0.087,3.62424646956044e-227
Ehd3,1.57893395203418e-230,2.46967736917515,0.509,0.094,2.5916621888689e-226
Gpihbp1,2.60232845739912e-227,2.39356571254428,0.503,0.092,4.27146192997491e-223
Malat1,3.70268987509525e-226,3.02293865031854,0.956,0.95,6.07759516098135e-222
Fabp4,8.1521784451588e-225,2.77540591695751,0.422,0.063,1.33809856998836e-220
Fcgr2b,3.76434152234336e-224,2.35669088603549,0.473,0.08,6.17879017477439e-220
Cyba,3.38160093943183e-223,3.0911890287885,0.414,0.064,5.5505597819834e-219
Eng,2.82126968381016e-221,2.69352413961222,0.447,0.074,4.63083205900599e-217
Mrc1,1.25370342411624e-218,2.52301842621503,0.44,0.071,2.05782880034439e-214
Marcks,5.06029054151961e-215,3.00699055995472,0.399,0.06,8.30596089485029e-211
Egfl7,1.01407458381455e-214,2.41838232962305,0.463,0.081,1.6645020218732e-210
Tmsb10,2.1108083170044e-214,3.31867786769075,0.463,0.091,3.46468077153102e-210
Gngt2,7.66033841047758e-211,2.90061767611416,0.402,0.063,1.25736794669579e-206
Cdh5,1.74547675502041e-210,2.66295587114008,0.41,0.063,2.8650255456905e-206
Tspan7,1.00114574242493e-206,2.47080604683891,0.444,0.078,1.64328062161628e-202
Gng11,2.11672639242237e-201,2.29686464530653,0.487,0.099,3.47439470052208e-197
Srgn,2.07243195781936e-196,2.41947857405325,0.425,0.074,3.40168981556469e-192
Tinagl1,3.92454977960282e-194,2.49869831851672,0.413,0.07,6.44175600824006e-190
Sh3bgrl3,4.31869424361474e-188,2.91939715105756,0.385,0.066,7.08870473146924e-184
Klf2,1.70595411997922e-182,2.58434795160899,0.424,0.082,2.8001530925339e-178
Bmp2,2.01152572166424e-182,2.52690261061909,0.399,0.071,3.30171831953968e-178
Marcksl1,4.04715959005967e-179,2.68481660586614,0.358,0.057,6.64300775112394e-175
Gpr182,2.28839481105357e-178,2.35718535728913,0.403,0.073,3.75617124286333e-174
Cd38,2.29079036691607e-171,2.72870371365324,0.337,0.052,3.76010330825604e-167
Bgn,8.09951613326556e-171,3.0064072378596,0.33,0.05,1.32945457811421e-166
Wfdc17,1.26657978141002e-169,2.76616292601778,0.365,0.067,2.07896405320641e-165
Fcer1g,8.93810052977976e-168,3.19059380373853,0.367,0.07,1.46709982095805e-163
Tyrobp,1.92437831681165e-167,4.07077214455294,0.296,0.042,3.15867456921464e-163
Pkm,9.66344902554352e-167,2.57698225105601,0.334,0.052,1.58615852305271e-162
Adgrf5,1.62531183523856e-165,2.54394062281003,0.356,0.061,2.66778684636057e-161
Ppap2a,6.21255243232026e-165,2.32494004392005,0.398,0.077,1.01972835624105e-160
Cd74,1.03654065948962e-164,4.09424330620652,0.361,0.07,1.70137783848626e-160
Ctss,1.78470605732552e-164,3.75107709801247,0.263,0.031,2.92941652249412e-160
Crip1,1.80102652343503e-164,4.08560923539464,0.28,0.037,2.95620493556627e-160
Lgmn,5.36610526722992e-164,2.63377875231471,0.473,0.127,8.80792518563119e-160
Cyp4b1,5.44147154028296e-164,2.40051395294905,0.366,0.065,8.93163138622046e-160
Msn,1.75089925944528e-163,2.83002544568423,0.3,0.042,2.87392604445348e-159
Clec14a,2.17360250673996e-163,2.47035635050107,0.369,0.067,3.56775115456297e-159
Clic1,1.23043754487608e-161,2.32598141541238,0.407,0.086,2.01964018615959e-157
Timp3,4.06282709621726e-160,2.98222959181469,0.296,0.042,6.66872439573102e-156
Cldn5,6.04537634306132e-160,2.38857380374848,0.372,0.069,9.92288072950085e-156
Sdc3,9.3402236638238e-160,3.07419539109939,0.271,0.034,1.53310431218004e-155
Kdr,4.13795355057061e-159,2.61841530167654,0.341,0.058,6.7920369579066e-155
