"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"CEP_1.SNRPG",5.96901464525751e-07,1.33197796775058,0.235,0.12,0.0146115509501259,"CEP_1"
"CEP_1.HERC5",6.58878648369496e-07,1.36340946257146,0.193,0.083,0.0161286904334369,"CEP_1"
"CEP_1.RPS18",6.80198325316174e-07,0.592734720549601,0.691,0.61,0.0166505748054146,"CEP_1"
"CEP_1.DBI",7.94155159982967e-07,0.940055662357359,0.394,0.259,0.0194401241612231,"CEP_1"
"CEP_1.SRP9",8.68046782119597e-07,0.923938989576362,0.323,0.2,0.0212489171795056,"CEP_1"
"CEP_1.IRF1",8.98085752515398e-07,1.18070251201946,0.212,0.1,0.0219842411358244,"CEP_1"
"CEP_1.HSH2D",9.78082604210538e-07,0.832104538625052,0.331,0.2,0.0239424840684698,"CEP_1"
"CEP_1.SHISA5",1.21474731041329e-06,1.17248818771689,0.179,0.073,0.0297357994116068,"CEP_1"
"CEP_1.CMPK2",1.26810015697373e-06,3.84828828153764,0.071,0.007,0.03104182374256,"CEP_1"
"CEP_1.FAM118A",1.55634734573531e-06,1.84141555408313,0.094,0.02,0.0380978266762548,"CEP_1"
"CEP_1.FCRLA",1.57610285307007e-06,0.641502891471176,0.419,0.271,0.0385814217403023,"CEP_1"
"CEP_1.NMI",1.69292954400725e-06,1.1766506054446,0.211,0.1,0.0414412223077535,"CEP_1"
"CEP_1.DNAJA1",1.82914443593016e-06,0.722797814373404,0.379,0.239,0.0447756266471345,"CEP_1"
"CEP_1.PAIP2",1.88929867659091e-06,0.509200930520172,0.486,0.341,0.0462481423042688,"CEP_1"
"CEP_1.TSPO",1.97038633172897e-06,0.86848323634103,0.321,0.193,0.0482330870143934,"CEP_1"
"pDC.MX1",2.04908553109106e-45,2.99305240407168,0.643,0.166,5.01595647155781e-41,"pDC"
"pDC.S100A9",3.99188622519086e-42,1.72291523210005,0.944,0.566,9.7717382906447e-38,"pDC"
"pDC.S100A8",2.02537019866114e-41,1.71882671688225,0.972,0.652,4.9579037093026e-37,"pDC"
"pDC.SLC35F1",5.76929987469171e-36,2.05726369791168,0.615,0.161,1.41226691632578e-31,"pDC"
"pDC.S100A12",7.27111166342707e-34,1.98114477324871,0.593,0.156,1.77989542409031e-29,"pDC"
"pDC.HLA-DRB1",2.14941655530858e-33,1.22990520114962,0.882,0.818,5.26155678573987e-29,"pDC"
"pDC.PLEK",5.12738021970655e-33,1.30447415283548,0.876,0.685,1.25513140398197e-28,"pDC"
"pDC.CAMP",1.37438518849005e-32,2.25627742787544,0.63,0.197,3.3643575029048e-28,"pDC"
"pDC.XAF1",1.97813852025789e-32,4.39180998941177,0.366,0.033,4.8422852837393e-28,"pDC"
"pDC.IFI44L",1.43556164269418e-31,3.40553236479544,0.394,0.05,3.51411134515109e-27,"pDC"
"pDC.FAM118A",9.41785502441248e-29,2.38480031166093,0.444,0.085,2.30539673142593e-24,"pDC"
"pDC.RPS27",1.0137259651886e-28,1.03226218519142,0.91,0.818,2.48149979018518e-24,"pDC"
"pDC.OAS1",5.70296035734238e-26,2.45389563863741,0.419,0.088,1.39602766587384e-21,"pDC"
"pDC.SAMD9L",1.40460724780173e-24,4.0925047738646,0.295,0.031,3.43833808189385e-20,"pDC"
"pDC.TPM2",2.12488166878523e-24,1.82712999495073,0.587,0.235,5.20149783701935e-20,"pDC"
"pDC.MPEG1",4.70438567183734e-24,1.11507638848524,0.832,0.621,1.15158656860906e-19,"pDC"
"pDC.LTF",8.11520473067156e-24,1.70696328947454,0.646,0.249,1.98652096602109e-19,"pDC"
"pDC.HSPA1A",1.99782331020145e-23,2.655230459934,0.568,0.246,4.89047168104213e-19,"pDC"
"pDC.S100A6",1.02495881173394e-22,1.25023427526734,0.839,0.607,2.50899667524352e-18,"pDC"
"pDC.RPS29",8.28556345123364e-22,0.586238234755744,0.957,0.941,2.02822307722748e-17,"pDC"
"pDC.PLAC8",1.83862540805736e-21,0.688871819478881,0.95,0.91,4.50077113638362e-17,"pDC"
"pDC.AC099560.1",4.72337830580541e-21,0.73316460420584,0.904,0.855,1.15623577547811e-16,"pDC"
"pDC.LCN2",5.9984140622663e-21,2.05531027951314,0.447,0.13,1.46835177830217e-16,"pDC"
"pDC.STAT1",1.02866507528289e-20,1.77621093033846,0.575,0.254,2.518069237785e-16,"pDC"
"pDC.ISG15",2.47820814390047e-20,4.06297666400036,0.276,0.043,6.06640571545396e-16,"pDC"
"pDC.B2M",1.6777951858312e-19,0.577119808690751,0.991,0.95,4.1070748353962e-15,"pDC"
"pDC.LYZ",2.24273391124637e-18,1.35921602181985,0.789,0.476,5.48998834133998e-14,"pDC"
"pDC.FCER1G",5.11199325510857e-18,1.08468611946545,0.804,0.611,1.25136482891803e-13,"pDC"
"pDC.DNASE1L3",5.45066499645908e-18,1.63203233930668,0.506,0.22,1.33426828448322e-13,"pDC"
"pDC.TXN",1.73386133113027e-17,1.30095974001956,0.854,0.701,4.24431915247379e-13,"pDC"
"pDC.RPS3A",2.47397921080956e-17,0.665803856859609,0.904,0.796,6.05605371014073e-13,"pDC"
"pDC.EIF2AK2",1.37503977173955e-15,1.7069120598978,0.348,0.104,3.36595985724126e-11,"pDC"
"pDC.CUEDC1",1.82286183660355e-15,1.95653288585845,0.32,0.085,4.46218348982183e-11,"pDC"
"pDC.RASAL2",2.64692096363732e-15,2.36953723522415,0.245,0.047,6.47939782688779e-11,"pDC"
"pDC.LTB",6.23728074043242e-15,1.99441952289845,0.323,0.095,1.52682395245045e-10,"pDC"
"pDC.SPIB",3.11847285967554e-14,0.975396686345038,0.711,0.498,7.63370971319976e-10,"pDC"
"pDC.KIRREL3",3.64403592979389e-14,2.3964923546812,0.202,0.028,8.92023555254247e-10,"pDC"
"pDC.MNDA",4.62266021626761e-14,1.66505737140358,0.398,0.145,1.13158099434015e-09,"pDC"
"pDC.CCDC50",7.83150257137072e-14,0.765999511136363,0.882,0.777,1.91707351444584e-09,"pDC"
"pDC.EPSTI1",1.04196109574286e-13,3.30981595572605,0.183,0.024,2.55061656626895e-09,"pDC"
"pDC.IFI44",1.06810769730291e-13,2.46958632448491,0.22,0.043,2.6146208322278e-09,"pDC"
"pDC.C12orf75",1.22857904339958e-13,0.841273879661566,0.814,0.642,3.00743864033782e-09,"pDC"
"pDC.ATP5F1E",1.25697211109782e-13,0.581440321010712,0.907,0.855,3.07694203075634e-09,"pDC"
"pDC.SLC1A5",1.62061179906998e-13,1.95727679324887,0.292,0.083,3.9670956229434e-09,"pDC"
"pDC.CCR2",1.69099094525369e-13,1.1958509002364,0.413,0.159,4.1393767348865e-09,"pDC"
"pDC.RPS6KA4",1.74769407782862e-13,1.07431623432989,0.469,0.206,4.27818033311668e-09,"pDC"
"pDC.KCTD5",1.8264397499919e-13,1.26035237042128,0.463,0.201,4.47094186400517e-09,"pDC"
"pDC.CSF2RA",2.58163689349315e-13,1.46288770800091,0.345,0.116,6.31958895158189e-09,"pDC"
"pDC.PLD4",4.16279363140165e-13,0.631835665850575,0.87,0.782,1.01901025303081e-08,"pDC"
"pDC.TAGLN2",4.61150206477242e-13,0.65600778419423,0.848,0.761,1.12884959043564e-08,"pDC"
"pDC.PGLYRP1",4.84227245273093e-13,2.39303184404968,0.245,0.057,1.18533987370401e-08,"pDC"
"pDC.MX2",6.46926025656267e-13,1.78627007223675,0.317,0.104,1.58361021820397e-08,"pDC"
"pDC.PYCARD",8.90728176301729e-13,0.987673861395249,0.599,0.332,2.180413502769e-08,"pDC"
"pDC.RPS18",1.48936839940374e-12,0.602263500714747,0.901,0.853,3.64582490490042e-08,"pDC"
"pDC.CHMP5",1.57407676001065e-12,1.41534826760584,0.425,0.182,3.85318250083008e-08,"pDC"
"pDC.CLEC4C",2.44973237127112e-12,0.939575214872389,0.727,0.498,5.99669987163456e-08,"pDC"
"pDC.PSME1",4.78728225208565e-12,0.851264804244261,0.761,0.6,1.17187882248805e-07,"pDC"
"pDC.RNF213",6.30452703839805e-12,1.03147257807965,0.621,0.365,1.54328517372946e-07,"pDC"
"pDC.XIST",8.94164993227823e-12,1.26753752355698,0.264,0.073,2.18882648692239e-07,"pDC"
"pDC.NPC1",1.16920967361388e-11,1.24129972260219,0.469,0.223,2.86210836003943e-07,"pDC"
"pDC.BST2",1.24186102104282e-11,1.25742570265324,0.522,0.277,3.03995159341072e-07,"pDC"
"pDC.HLA-C",2.20148068753915e-11,0.536859052538674,0.898,0.77,5.3890045750271e-07,"pDC"
"pDC.NDUFB1",2.29931889178041e-11,1.01493022380338,0.565,0.327,5.62850271518927e-07,"pDC"
"pDC.PLEKHO1",3.14385239235582e-11,1.08538950485795,0.432,0.194,7.69583627124782e-07,"pDC"
"pDC.FAM43A",5.31701545464781e-11,2.89183111326669,0.152,0.021,1.30155221314324e-06,"pDC"
