,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Eif1,2.74461473644892e-106,-0.935008001052368,0.884,0.857,4.50501062840725e-102
Cox5a,4.40709249495131e-106,-0.882181110903484,0.78,0.8,7.23380162121308e-102
Ak4,5.93319615006542e-106,1.65032422006566,0.291,0.095,9.73874816071737e-102
Arfgef1,1.65463471809303e-105,1.84570913584566,0.268,0.081,2.71591742627789e-101
Jak1,2.95439537747998e-105,1.58388208307026,0.294,0.097,4.84934457259564e-101
Stat3,3.0391698452092e-105,1.70098116984507,0.286,0.092,4.98849338392638e-101
Tomm70a,3.19752234784022e-105,1.11502409049046,0.398,0.173,5.24841318174494e-101
Ddx5,4.26507203693761e-105,0.60524132634369,0.641,0.383,7.0006892414294e-101
Tab2,1.8354509109148e-104,2.14099634659384,0.22,0.048,3.01270912517555e-100
Mfsd1,2.98768814241384e-104,1.38952492015122,0.318,0.114,4.90399131695807e-100
Suclg2,3.29503646105281e-104,0.579872252741623,0.764,0.486,5.40847284717207e-100
Dmgdh,4.68084327781527e-104,0.783202051168634,0.586,0.334,7.68313615620599e-100
Hexim1,5.09536616160738e-104,2.01473708916347,0.235,0.058,8.36353401766235e-100
Mmd,5.15529967782502e-104,0.866826393522948,0.503,0.255,8.46190889118199e-100
Crk,5.80551811919972e-104,1.59302958902725,0.291,0.095,9.52917744085443e-100
Alkbh5,1.20470505997563e-103,1.49926522070602,0.31,0.109,1.977402885444e-99
Snhg8,2.51071492063589e-103,0.819179641330373,0.475,0.226,4.12108747073175e-99
Prdx5,5.55915806925049e-103,-1.41872160902744,0.483,0.583,9.12480205486776e-99
Ctnnd1,2.21779980111591e-102,1.98467011707564,0.245,0.067,3.64029659355166e-98
Zfp91,3.49748128012734e-102,1.82313220580953,0.256,0.073,5.74076577320101e-98
Acsl5,3.61258782868123e-102,0.805218747980163,0.537,0.287,5.92970166199738e-98
Hagh,6.13556399327935e-102,-1.1747815539551,0.583,0.663,1.00709147385687e-97
Rps27,7.38961194926625e-102,1.67193361969132,0.273,0.083,1.21293090535256e-97
Tspan31,8.27643634978938e-102,0.630602502912011,0.72,0.449,1.35849426245443e-97
Rnf4,1.45955579452625e-101,1.4886907857943,0.293,0.097,2.39571488113538e-97
Stard7,2.14244359359014e-101,1.07834513265441,0.409,0.183,3.51660691451886e-97
Hipk1,3.2320838122896e-101,2.23366029799729,0.233,0.061,5.30514236949216e-97
Atl2,4.20090950953606e-101,1.24799256021522,0.355,0.146,6.89537286895249e-97
Esd,4.4232609339818e-101,-1.29230328519023,0.484,0.593,7.26034049703773e-97
Ugt3a1,4.4515290977612e-101,0.99927839716416,0.431,0.203,7.30673986106523e-97
Cfi,4.93217069286792e-101,0.53082140353435,0.789,0.502,8.0956649752734e-97
Mcl1,4.98806769699197e-101,1.67667130832134,0.276,0.088,8.18741431784262e-97
Pdcd6ip,6.00218999975777e-101,1.54230127711905,0.293,0.1,9.85199466560241e-97
Cald1,6.5739932051369e-101,0.634856222685392,0.663,0.399,1.07905524469117e-96
Ceacam1,8.01709376308416e-101,1.33572490747175,0.343,0.136,1.31592577027263e-96
Acad11,1.22293773176583e-100,1.00225357885896,0.431,0.2,2.00732999292043e-96
Hyou1,1.28883760910782e-100,1.8770707598112,0.263,0.08,2.11549805158957e-96
Entpd5,1.37710865983631e-100,1.15432208590613,0.386,0.167,2.26038615425533e-96
Rps12,2.03323470350753e-100,0.516692796167311,0.699,0.412,3.33735144233725e-96
Ccdc25,2.90321706964297e-100,1.46752956483897,0.344,0.137,4.76534049811197e-96
Dbt,4.78057764142336e-100,1.48862975535998,0.296,0.102,7.8468401406323e-96
Slc31a1,4.8144349646668e-100,0.801810272119339,0.497,0.253,7.90241355100408e-96
Klhl9,5.48083175427769e-100,2.09543196862341,0.226,0.056,8.9962372414714e-96
Gnmt,7.19790862703717e-100,-0.902921788292586,0.956,0.951,1.18146472204188e-95
Wrnip1,1.07445830860604e-99,1.65330515038919,0.286,0.096,1.76361586774596e-95
Rn45s,1.43914776349444e-99,0.710796967288575,0.577,0.326,2.36221713899977e-95
Ppp1cb,1.69209342652172e-99,0.753023829637075,0.497,0.242,2.77740215029276e-95
Ppm1k,4.6893232244413e-99,1.29367488727875,0.308,0.111,7.69705514059794e-95
Csnk2a1,1.07598987126973e-98,1.00569406305045,0.408,0.183,1.76612977470214e-94
Cab39,1.21053064039516e-98,1.94815013841818,0.228,0.058,1.98696499314461e-94
Degs1,1.31952263180889e-98,1.03330874606784,0.39,0.173,2.16586444785111e-94
Dhx15,1.53673362708002e-98,1.55095672180647,0.288,0.098,2.52239457548914e-94
Calu,1.70156124906108e-98,1.65440339440844,0.285,0.098,2.79294263420886e-94
Wfdc21,1.75325165694249e-98,-0.66065278271078,0.943,0.946,2.87778726970541e-94
Prkar2a,2.51784328703624e-98,1.79411680854309,0.242,0.067,4.13278797134128e-94
Sdc2,2.72481883840508e-98,0.7290986381049,0.528,0.282,4.47251764135811e-94
Acsl4,1.0348535004991e-97,1.84546439562141,0.237,0.064,1.69860853571923e-93
Derl1,4.58612483893491e-97,0.771061569204934,0.51,0.267,7.52766531062776e-93
Sgpl1,8.62129753937595e-97,1.66465071971331,0.272,0.09,1.41509977811317e-92
Kat2b,9.71538795134192e-97,1.59540582850397,0.267,0.085,1.59468377833326e-92
Tmed10,1.08137489503049e-96,0.639273616401072,0.571,0.312,1.77496875270305e-92
Atp6v1a,1.48615097837861e-96,1.76576484210659,0.253,0.077,2.43936821591064e-92
Ubr3,2.57107908728024e-96,1.75442221156668,0.261,0.082,4.22016921386178e-92
Ppap2b,9.25193006181004e-96,1.32312789877456,0.323,0.124,1.5186118003455e-91
Ftl1,1.99980955012369e-95,-0.852064539167412,1,0.997,3.28248739557303e-91
Mfn2,2.66427058522495e-95,1.49258587013969,0.281,0.096,4.37313373858824e-91
Slc16a2,3.60531376769647e-95,1.20622150106575,0.336,0.137,5.91776201829698e-91
Apoc3,3.67915209457365e-95,-0.533104128664289,1,0.996,6.03896024803319e-91
Trim25,5.31348296487043e-95,1.60817038216102,0.262,0.083,8.72155093853832e-91
Pabpn1,6.46034498275722e-95,0.88456656464351,0.39,0.18,1.06040102546977e-90
Rassf3,9.38974066185913e-95,1.50553350651358,0.284,0.098,1.54123203223756e-90
Eif4g1,1.24501109842255e-94,0.934890083320987,0.436,0.216,2.04356121695077e-90
Cyp51,3.32854219643631e-94,1.82921836937645,0.261,0.085,5.46346916123055e-90
Cflar,4.15524929789748e-94,1.199777266683,0.352,0.149,6.82042619756892e-90
Cdh2,6.37771985508247e-94,1.43611008125185,0.305,0.115,1.04683893701324e-89
Cenpb,9.09345454103974e-94,1.89937211335062,0.223,0.058,1.49259962836626e-89
Nr3c1,1.3067509580617e-93,1.49140470111252,0.299,0.113,2.14490102256248e-89
Psmb2,1.4497478706212e-93,-1.68855893616989,0.258,0.418,2.37961615483764e-89
D15Ertd621e,2.00735076647088e-93,1.72203711255675,0.247,0.073,3.29486554808531e-89
Abca8a,2.3446920032807e-93,1.34651591468678,0.328,0.133,3.84857745418495e-89
Pcx,3.2952892677477e-93,0.812543721298502,0.491,0.253,5.40888780408108e-89
Rnf44,3.32608161013009e-93,2.08175159607678,0.213,0.054,5.45943035486753e-89
Gnb1,4.92516984639648e-93,1.34221910251799,0.291,0.103,8.08417378587519e-89
Smarcc2,6.31705369240395e-93,1.55500899488255,0.26,0.083,1.03688119307119e-88
Pdia4,7.18383758832529e-93,0.723919487694566,0.526,0.283,1.17915510174771e-88
Ndufs3,7.99265540994921e-93,-1.50939531011705,0.353,0.495,1.31191445898906e-88
Cyb5a,1.22293993085238e-92,-0.838231585953156,0.969,0.926,2.00733360250109e-88
Rac1,1.39179557754411e-92,0.806277048721147,0.474,0.237,2.2844932609809e-88
Cmtm8,1.52896187754819e-92,0.717461557559799,0.483,0.242,2.5096380258076e-88
Sdhb,1.53684430943051e-92,-1.20140661126371,0.538,0.62,2.52257624949924e-88
Sox9,1.99939084802338e-92,2.13118254123901,0.215,0.055,3.28180013794558e-88
Ulk2,2.12905879263474e-92,1.9362502581819,0.228,0.063,3.49463710223067e-88
Serpina3n,4.86198212566228e-92,1.11961680357085,0.369,0.164,7.98045746106207e-88
Prkacb,4.8985646907323e-92,2.09151806886955,0.204,0.048,8.040504083368e-88
Hsd17b12,1.46792721786772e-91,0.777216227300929,0.501,0.266,2.40945573540807e-87
Rps2,2.18714082099467e-91,-1.10893441429081,0.815,0.785,3.58997294358065e-87
