,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Cyp2f2,6.60470085197585e-214,1.2909525314576,0.891,0.533,1.08409559784332e-209
Cps1,4.98281926707521e-203,1.18456732562177,0.932,0.61,8.17879954497725e-199
Fga,2.36436119219754e-198,1.02769267602988,0.933,0.712,3.88086246087305e-194
Pigr,1.96843688957063e-177,1.15886627197381,0.88,0.576,3.23099231054124e-173
Gldc,2.43191041659837e-150,1.39658899821245,0.74,0.437,3.99173775780457e-146
Acly,1.96696686540937e-144,1.31868382086442,0.757,0.468,3.22857941288294e-140
Fn1,2.60759374820445e-130,1.01992024791698,0.853,0.538,4.28010437830279e-126
Hal,2.10635687529927e-129,1.24325209523918,0.732,0.457,3.45737417511622e-125
Pck1,5.05561901753716e-129,1.21915457593578,0.845,0.617,8.29829305538549e-125
Insig1,8.56659888826035e-117,1.09546826076554,0.776,0.534,1.40612154151905e-112
Gls2,2.08773743837605e-104,1.15802245473075,0.721,0.475,3.42681223135044e-100
Uroc1,1.63506457170925e-95,1.02042016791053,0.732,0.507,2.68379498800357e-91
Maob,1.7014091162163e-69,1.06951767749907,0.623,0.433,2.79269292335743e-65
Etnppl,1.67250244760287e-65,1.1553934448674,0.523,0.319,2.74524551749535e-61
Cpn2,4.93117253973984e-44,1.01986634704218,0.484,0.336,8.09402660672897e-40
F11r,5.01192374847995e-42,1.04213663653172,0.491,0.346,8.22657164075499e-38
Cdh1,2.53425172067226e-31,1.77229449029771,0.211,0.107,4.15972077431144e-27
Egfr,5.46869661160358e-30,1.08189015887993,0.398,0.283,8.97631861828612e-26
F7,1.36165102685674e-26,1.04845892382439,0.381,0.278,2.23501399548265e-22
Ptprf,2.10172183271506e-25,1.09082588318974,0.379,0.279,3.44976621621849e-21
Ak4,3.08080356774279e-24,1.41787721672632,0.258,0.162,5.05683097609302e-20
Abhd17c,9.53839862349276e-24,1.01166176060511,0.361,0.263,1.5656327500601e-19
Ddc,1.58289076213618e-23,1.00068034497732,0.399,0.311,2.59815689697033e-19
Slco2b1,2.28481937893357e-21,1.03001342984427,0.349,0.261,3.75030252858156e-17
St6gal1,9.39948583005071e-21,1.21947671084169,0.276,0.187,1.54283160414452e-16
Hyou1,2.09134233270218e-19,1.1981520601608,0.236,0.15,3.43272930489735e-15
Dapk1,1.06147655827564e-17,1.07251028958659,0.306,0.227,1.74230762275364e-13
Etnk1,2.69134967774013e-15,1.07726774369699,0.271,0.198,4.41758136104265e-11
Larp1,5.95159424098499e-15,1.0871944848817,0.273,0.202,9.76894678715276e-11
Dsg2,2.46691299403025e-14,1.0894133710843,0.276,0.209,4.04919098840125e-10
Ssbp3,5.92748473916938e-11,1.03975079341073,0.247,0.19,9.72937345087262e-07
Abca8a,6.62770324115503e-10,1.03354871108245,0.255,0.205,1.08787121000319e-05
Pcyt1a,8.3330941552847e-10,1.0163790681362,0.224,0.171,1.36779407464843e-05
