,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Mocs2,8.57698248099568e-05,0.843517570467499,0.361,0.359,1
Perp,9.25395735164275e-05,0.36132235113352,0.195,0.304,1
Tubb4b,9.58234944122057e-05,0.156473315790206,0.234,0.353,1
Agmat,0.000105779791893751,0.818909637199256,0.354,0.348,1
Gadd45gip1,0.000108155343705685,0.942172213707372,0.323,0.31,1
Ebpl,0.00011115841260308,0.827635823048963,0.426,0.469,1
Eif4ebp1,0.00011813093476179,0.279701817972291,0.164,0.255,1
Pole4,0.000118921233816007,0.275401186654072,0.147,0.233,1
Abhd14b,0.000120434118553474,0.806402264362799,0.399,0.426,1
Rwdd1,0.000123009883316602,0.173795568379015,0.149,0.23,1
Tspan12,0.000124741299154252,0.325848141770363,0.252,0.388,1
Srp14,0.000128255410095041,0.193291940970124,0.244,0.366,1
Rpl28,0.000130879686834362,0.315388448989008,0.659,0.747,1
Rnf187,0.000134423085066026,0.345588850500586,0.166,0.259,1
Gpd1,0.000157197771116966,0.234957668421726,0.299,0.451,1
Pter,0.000166444577752297,0.407549952655996,0.176,0.273,1
Mea1,0.000174124213503646,0.296333357905343,0.13,0.205,1
Prdx2,0.000178371655892202,0.832687194720572,0.404,0.431,1
Anp32b,0.000182563356703796,0.220057729519276,0.13,0.205,1
Stard10,0.000205176243627652,-0.114093441220365,0.687,0.791,1
Ptpmt1,0.000212680712014157,0.315275289647064,0.15,0.232,1
Jtb,0.000214437775762858,0.283522609224335,0.157,0.244,1
Hsbp1,0.000227851584481702,0.74344390470336,0.412,0.445,1
Mlf2,0.000232326229467111,0.355126925162676,0.242,0.368,1
Fkbp4,0.000232805699508529,0.22002059105783,0.262,0.398,1
Cbr1,0.00023778674550078,1.04589060587727,0.224,0.19,1
Rps15a,0.00023967327687878,-0.156019591339409,0.524,0.716,1
Gng5,0.00025652697415237,0.349590879179856,0.627,0.726,1
Nrn1,0.000257818535776407,0.832331629711083,0.356,0.367,1
Copz1,0.000259751791595746,0.247680714786984,0.232,0.348,1
Preb,0.000263928264496325,0.341305518031907,0.127,0.201,1
Mrpl12,0.000295566800407118,0.750967690138366,0.404,0.429,1
Thoc7,0.000305528552325603,0.242471516665722,0.167,0.254,1
Gcsh,0.00030920112474709,0.351039303871465,0.269,0.412,1
Uqcc3,0.000311277787698314,0.41023442070253,0.19,0.288,1
Cd81,0.000334207254446572,-0.301024138834403,0.475,0.668,1
Use1,0.000346930567775276,0.373993732862497,0.167,0.254,1
Dctn2,0.000347736261824929,0.292369673621222,0.143,0.22,1
Cryz,0.000358621988592969,0.512018263289888,0.146,0.229,1
Vdac1,0.000358871063245822,0.32926422832569,0.275,0.413,1
