,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Sil1,9.89944043636725e-21,-0.606664972668915,0.048,0.211,1.62489415322532e-16
Cyp4a14,1.56545060348654e-20,-1.15395461990541,0.055,0.22,2.5695306205628e-16
Rsl1d1,1.66154617459494e-20,-0.282061418846216,0.065,0.242,2.72726189098013e-16
Ergic2,1.83843746628429e-20,-0.131043394618767,0.078,0.265,3.01761125715903e-16
Nfe2l2,1.94924249781303e-20,-0.300871724211248,0.055,0.224,3.19948663591031e-16
Isoc1,2.0498802917998e-20,-0.616797861312892,0.054,0.22,3.36467351096019e-16
Dnajb9,2.19777886360371e-20,0.150732091881703,0.207,0.506,3.60743422671914e-16
Rpl9,2.26949470002161e-20,0.697292281094081,0.725,0.902,3.72514860061547e-16
Cs,2.31103526755079e-20,-0.125616507485811,0.089,0.284,3.79333328815786e-16
Chmp3,2.67121240012504e-20,-0.169667496945374,0.096,0.297,4.38452803356523e-16
Gcsh,3.07438315275504e-20,0.113536550919202,0.269,0.623,5.04629250693213e-16
Bdh1,3.34233757615364e-20,0.232222261464336,0.173,0.438,5.48611289749859e-16
Dstn,5.94675792747022e-20,0.102964430849631,0.275,0.63,9.76100846214963e-16
Ndufb9,7.05926551183214e-20,0.663407333238348,0.752,0.938,1.15870784111213e-15
Rpl32,9.17350913768166e-20,0.577682486729045,0.807,0.958,1.50573978985907e-15
Sec11a,1.07045928290476e-19,0.155117529099297,0.103,0.31,1.75705186695987e-15
0610011F06Rik,1.2367618665426e-19,1.88040732558181,0.48,0.47,2.03002092774302e-15
Acox2,1.29955516990134e-19,0.25835150320209,0.188,0.469,2.13308985587606e-15
Tdo2,1.3839067828321e-19,-0.254119632986539,0.809,0.981,2.27154459334062e-15
Cldn3,1.46272922415395e-19,0.295486785682408,0.143,0.385,2.4009237485263e-15
Ppp1cc,1.49552159096691e-19,-0.236275993234552,0.078,0.259,2.45474913941309e-15
Sar1b,1.82388078882276e-19,0.114464662659268,0.32,0.716,2.99371792677368e-15
Sumo3,1.82668484960371e-19,0.195710648509215,0.204,0.491,2.99832051213953e-15
2310036O22Rik,2.22034500007186e-19,0.15591026712918,0.211,0.505,3.64447428311795e-15
Rpl27,2.41915927632392e-19,0.757087742799019,0.695,0.891,3.97080803615809e-15
Ube2e3,2.4247591780535e-19,-0.138613566151297,0.072,0.248,3.97999971485701e-15
Hspa4,2.75090217695029e-19,-0.184525227339542,0.076,0.257,4.51533083324621e-15
Ywhaq,2.83827269857915e-19,0.108712361390822,0.187,0.453,4.65874080744782e-15
Tmem97,2.93739681429454e-19,-0.255876572567012,0.059,0.224,4.82144313098306e-15
Mlycd,3.1579589686625e-19,0.203069281209357,0.144,0.381,5.18347385116263e-15
Ola1,4.17521530964075e-19,-0.136549158866916,0.082,0.264,6.85319840924432e-15
Rpl4,5.14396706053598e-19,1.04740830638467,0.623,0.796,8.44330753316375e-15
A230050P20Rik,5.2020975060193e-19,-0.502668202932606,0.048,0.201,8.53872284638008e-15
Ndufa12,6.09041102339098e-19,1.82268709735128,0.482,0.478,9.99680065379395e-15
Mat2b,6.77630013300431e-19,-0.620853514043374,0.052,0.207,1.11226190383133e-14
Il11ra1,7.1208566628855e-19,-0.494057108061106,0.052,0.208,1.16881741264603e-14
Gpd1,7.27593676949296e-19,0.127223689351948,0.299,0.664,1.19427226134457e-14
Bnip3,7.60543076510193e-19,0.275450316788269,0.246,0.568,1.24835540578383e-14
Edem2,8.05373335678693e-19,-0.291944765286145,0.054,0.211,1.32193979318301e-14
Mup9,8.71998888391397e-19,2.98840048358006,0.251,0.136,1.43129897540564e-14
Bphl,9.47986681846892e-19,1.67240827059184,0.514,0.552,1.55602533958349e-14
Rps5,1.13478200212943e-18,0.624129169917512,0.761,0.933,1.86263117829524e-14
Dek,1.25547842821284e-18,-0.331152791991489,0.076,0.249,2.06074229206856e-14
Bnip3l,1.40039020354664e-18,0.119181516264828,0.19,0.454,2.29860048010146e-14
Tvp23b,1.81382642450584e-18,-0.283426864957699,0.065,0.228,2.97721469318388e-14
Pdzk1,1.8580687623257e-18,-0.148925456515678,0.057,0.215,3.04983406648141e-14
Ssrp1,2.03010008347562e-18,-0.311823072259707,0.062,0.224,3.33220627701689e-14
Ppp1r2,2.04655875551462e-18,-0.182625254163904,0.079,0.253,3.3592215413017e-14
Aldh7a1,2.16340982257665e-18,1.37451981348609,0.575,0.709,3.55102088277731e-14
Hint3,2.17225187099639e-18,0.131153261337685,0.142,0.366,3.56553422105347e-14
Ndufa13,2.18717076483871e-18,0.634663172082536,0.718,0.91,3.59002209340626e-14
Nr1h3,2.2321281691729e-18,0.223583295817188,0.147,0.379,3.6638151768804e-14
Ube2g2,2.37237662592886e-18,-0.239203042127782,0.059,0.219,3.89401899379962e-14
Anxa7,2.51673612788335e-18,0.209295473378489,0.103,0.299,4.13097068030772e-14
Mgll,2.60430788204023e-18,0.149955483049096,0.149,0.38,4.27471095758084e-14
Glud1,2.7559526944168e-18,-0.276529158801532,0.542,0.938,4.52362075261574e-14
Mccc2,3.56160288938495e-18,-0.154787590926252,0.067,0.23,5.84601498263645e-14
Smap1,3.7860809797102e-18,-0.277914260060717,0.058,0.215,6.21447332009632e-14
Poldip2,3.90205289491891e-18,0.172419895974728,0.146,0.371,6.40482962171989e-14
Grb7,4.70217934012165e-18,0.199824646797134,0.078,0.251,7.71815716887567e-14
Serpina6,5.10851479313331e-18,-0.158707662031502,0.074,0.242,8.38511618144901e-14
Eif1ax,5.61981128731573e-18,-0.324435697962492,0.067,0.229,9.22435824700003e-14
Nags,5.76464057964106e-18,0.135140671330414,0.088,0.269,9.46208104742283e-14
Hnrnpf,5.79762748331192e-18,0.220896922594647,0.324,0.711,9.51622575110818e-14
H1f0,5.98394323620564e-18,0.154067889656216,0.187,0.447,9.82204442790793e-14
Nqo2,6.07453847479395e-18,0.207310775966934,0.129,0.342,9.9707474525268e-14
Acot13,6.20352773053768e-18,2.39406044391425,0.323,0.219,1.01824704169045e-13
Srsf11,6.70395716925643e-18,-0.279374970034165,0.064,0.222,1.10038752976175e-13
Ilkap,6.80336319123497e-18,-0.291669005405727,0.054,0.205,1.11670403420931e-13
Ugp2,7.04516098699006e-18,1.14393447149271,0.632,0.783,1.15639272440455e-13
Cyp2e1,7.73252015721611e-18,1.7971872715042,0.337,0.217,1.26921585860545e-13
Coasy,7.9802193323691e-18,0.303517771198518,0.163,0.406,1.30987320121506e-13
Eps8l2,9.84704006131472e-18,-0.254262023451764,0.054,0.204,1.6162931556642e-13
Pcbd1,9.8826612767717e-18,0.823647715084298,0.677,0.881,1.62214002196931e-13
1500017E21Rik,1.36289436904579e-17,0.108825316286587,0.133,0.348,2.23705481735176e-13
Tmem238,1.39580519170422e-17,0.22406208682727,0.201,0.472,2.2910746416633e-13
Tmem160,1.45567408537523e-17,0.200166803197283,0.167,0.408,2.38934344373491e-13
Gckr,1.56790429581304e-17,0.397960043318812,0.142,0.365,2.57355811114753e-13
Svip,1.60004647020178e-17,-0.530332963854679,0.055,0.204,2.6263162761892e-13
Dnajc25,1.77597799228604e-17,-0.220643232556027,0.067,0.225,2.91509027653831e-13
Csnk1g3,1.84240348306664e-17,-0.173546682617004,0.052,0.2,3.02412107710558e-13
Snap47,1.86031792838467e-17,-0.186427271765185,0.075,0.24,3.05352584765059e-13
Prps1,2.2564148589674e-17,-0.178294891257901,0.058,0.21,3.70367934950909e-13
