,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Cyp2f2,6.60470085197585e-214,1.2909525314576,0.891,0.533,1.08409559784332e-209
Cat,3.53393171283338e-212,0.960019974616516,0.955,0.867,5.80059551344471e-208
Cps1,4.98281926707521e-203,1.18456732562177,0.932,0.61,8.17879954497725e-199
Fga,2.36436119219754e-198,1.02769267602988,0.933,0.712,3.88086246087305e-194
Pigr,1.96843688957063e-177,1.15886627197381,0.88,0.576,3.23099231054124e-173
Serpina3k,1.2475078331735e-159,0.807135142451904,0.936,0.878,2.04765935737098e-155
Gldc,2.43191041659837e-150,1.39658899821245,0.74,0.437,3.99173775780457e-146
H2-K1,5.48829664312887e-149,0.803737294345208,0.979,0.792,9.00849011003173e-145
COX3,8.61232474344517e-147,0.543642556799403,1,0.978,1.41362698338909e-142
Fgg,3.10830381634649e-146,0.844396373446537,0.934,0.815,5.10196988415114e-142
Acly,1.96696686540937e-144,1.31868382086442,0.757,0.468,3.22857941288294e-140
Ubb,7.55711016864276e-138,-2.17437316728333,0.202,0.594,1.24042406308102e-133
Ftl1,2.23834135614083e-134,-1.0866439102168,1,0.998,3.67401350196956e-130
COX1,8.23738864240715e-134,0.667275131551836,1,0.937,1.35208497176471e-129
Hspa5,3.738180942078e-132,0.851405310308091,0.95,0.7,6.13585019832683e-128
Fn1,2.60759374820445e-130,1.01992024791698,0.853,0.538,4.28010437830279e-126
Hal,2.10635687529927e-129,1.24325209523918,0.732,0.457,3.45737417511622e-125
Pck1,5.05561901753716e-129,1.21915457593578,0.845,0.617,8.29829305538549e-125
Hsp90b1,4.55566252138645e-123,0.853329094877688,0.911,0.684,7.47766446260372e-119
Insig1,8.56659888826035e-117,1.09546826076554,0.776,0.534,1.40612154151905e-112
Cp,3.350949497727e-115,0.930212757828034,0.833,0.553,5.5002485055691e-111
Errfi1,4.91540010077467e-115,0.938444976794431,0.856,0.654,8.06813772541154e-111
Tpt1,4.41935974835453e-114,0.597527170723324,0.997,0.912,7.25393709094912e-110
Rps6,6.04041338207252e-113,-1.32988111618406,0.558,0.822,9.91473452533384e-109
Rps2,1.30955996185071e-112,-1.35056657684511,0.638,0.83,2.14951172138176e-108
Apon,7.11608978461189e-112,0.977444136756768,0.821,0.571,1.1680349772462e-107
Fabp1,5.24727376766676e-110,-1.526068558523,0.957,0.949,8.61287516224823e-106
Uqcrb,1.88645743429603e-107,-1.59552498944122,0.5,0.772,3.09643123265351e-103
Apob,2.48343597562659e-106,0.788120212549267,0.909,0.611,4.07631181039348e-102
Cox6b1,9.5406788507433e-105,-1.31410832339349,0.568,0.82,1.56600702656101e-100
Atp5j,1.10460591982048e-104,-1.1870014825149,0.656,0.862,1.81310015679334e-100
Gls2,2.08773743837605e-104,1.15802245473075,0.721,0.475,3.42681223135044e-100
COX2,1.61398353285701e-103,0.529362981032868,0.999,0.911,2.6491925708315e-99
ND4,2.1958508065783e-102,0.534443030022464,0.998,0.915,3.60426951391762e-98
