"Background cells","Scissor- cell","Scissor+ cell","V4","pct"
8,0,0,8,0
27,0,0,27,0
22,0,0,22,0
55,0,0,55,0
155,0,0,155,0
13,0,0,13,0
46,0,1,47,0
2,0,0,2,0
391,4,0,395,0.010126582278481
19,0,0,19,0
153,0,0,153,0
8,0,0,8,0
43,0,0,43,0
1096,3,0,1099,0.00272975432211101
62,2,0,64,0.03125
167,1,0,168,0.00595238095238095
193,6,0,199,0.0301507537688442
