,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Tmsb4x,1.72754538137113e-98,1.9933313102887,0.4,0.17,2.83559298898257e-94
Igfbp7,2.33265524772898e-78,1.43067549745261,0.301,0.109,3.82882032362234e-74
Tmsb10,9.64727617922854e-74,2.25159105930067,0.265,0.097,1.58350391205857e-69
Cyba,1.02110267959321e-73,1.99873690903336,0.225,0.071,1.6760379382843e-69
Fabp4,4.41382474667462e-72,1.63434764146457,0.227,0.07,7.24485193919173e-68
Ptprb,1.63259256026771e-69,1.47191493975911,0.263,0.093,2.67973742842341e-65
Sparc,2.3143398932013e-69,1.46514031595752,0.263,0.093,3.79875750070061e-65
Marcks,4.3729221487975e-68,1.89244160051971,0.213,0.068,7.17771441503622e-64
Aqp1,3.06852662464906e-66,1.30219444495751,0.28,0.107,5.03667960169897e-62
Gngt2,2.98841406798817e-65,1.76448718424419,0.214,0.07,4.90518285119577e-61
Wfdc17,4.10341893724432e-65,1.67895368215308,0.213,0.07,6.73535184359282e-61
Cd74,9.37095937163542e-65,3.03602824412485,0.213,0.072,1.53814927126024e-60
Fcer1g,1.41457104997885e-63,2.10291108431618,0.214,0.073,2.32187692143528e-59
Gpihbp1,7.16738636206642e-63,1.26617652991114,0.27,0.103,1.17645479746958e-58
Eng,1.30160734808626e-62,1.57728232386449,0.236,0.084,2.13645830114878e-58
Clec4g,1.47112168683947e-62,1.0439958630766,0.275,0.104,2.41469913677831e-58
Fcgr2b,4.65117894093023e-62,1.22771101426972,0.25,0.091,7.63444511364289e-58
Mrc1,6.04197855684194e-62,1.39901587074618,0.232,0.081,9.91730360320037e-58
Dnase1l3,9.23031717388616e-62,1.26629107255185,0.262,0.099,1.51506426092167e-57
Cdh5,1.19863604533347e-60,1.52882651683536,0.214,0.072,1.96744120481036e-56
Ehd3,2.62035419123022e-60,1.33034394040277,0.269,0.107,4.30104936948529e-56
Sh3bgrl3,1.00097486861273e-59,1.8132309532061,0.21,0.072,1.64300014934093e-55
Egfl7,1.89670637584047e-58,1.28861037125059,0.245,0.092,3.11325384530455e-54
C4a,4.96595593424108e-58,1.18100169372688,0.559,0.435,8.1511200704633e-54
Tspan7,1.86576171540993e-57,1.35484113062688,0.236,0.088,3.06246127967386e-53
Tinagl1,2.9797168525862e-52,1.37195498075824,0.216,0.08,4.89090724183499e-48
Lgmn,6.54218679941174e-52,1.55708744985869,0.284,0.134,1.07383454125544e-47
Srgn,9.64163044122285e-52,1.29470451251209,0.223,0.085,1.58257722062232e-47
Gng11,2.87335090458454e-51,1.16155212410015,0.262,0.112,4.71631817478506e-47
Cfb,1.84984089007132e-49,1.06727329540505,0.593,0.542,3.03632883696307e-45
Bmp2,2.65032997186493e-49,1.38837367147109,0.211,0.08,4.3502516158191e-45
Clic1,1.82899990362379e-48,1.20646795030005,0.229,0.093,3.00212044180809e-44
Gpr182,3.63168478381531e-47,1.2217374024493,0.213,0.083,5.96104740415446e-43
Man2b1,1.70993954911482e-46,1.24583247006545,0.276,0.129,2.80669477591706e-42
Klf2,2.21371321029884e-46,1.44293508625185,0.225,0.093,3.63358886338452e-42
Cyp2d10,2.32686313084331e-43,1.00759519315991,0.612,0.595,3.81931314296621e-39
Ppap2a,1.29104422895795e-41,1.20406022473426,0.211,0.087,2.11911999741158e-37
Txnip,5.68491997655469e-40,1.24029555398676,0.279,0.143,9.33122764951688e-36
Aadac,2.92264496705361e-37,1.10304075191503,0.503,0.408,4.7972294489218e-33
Il6st,1.19557628386118e-36,1.47349179820945,0.2,0.09,1.96241891232974e-32
Junb,3.16644607981958e-35,1.66717280256246,0.425,0.292,5.19740459541586e-31
App,3.60005786917209e-33,1.18438450288639,0.3,0.173,5.90913498645907e-29
H2-D1,6.00741809644599e-33,1.06081922954063,0.76,0.696,9.86057606350645e-29
Rsrp1,8.52589571719765e-32,1.22292682816306,0.522,0.398,1.39944052302082e-27
Pisd-ps1,4.84397581958525e-31,1.85997883289472,0.235,0.127,7.95090191026723e-27
Arpc1b,6.43175992682365e-31,1.71127233391402,0.238,0.132,1.05570907438883e-26
Maf,1.10166086371932e-30,1.33817981018272,0.252,0.141,1.80826614170889e-26
Id3,3.89569567335984e-29,1.11691372737344,0.47,0.361,6.39439487825284e-25
Slc3a2,5.08224092708621e-29,1.15994567257718,0.213,0.109,8.3419902577193e-25
Nrp1,3.83352906838098e-28,1.16571634998285,0.3,0.187,6.29235461284055e-24
Jun,1.1852474991268e-27,1.4787771525145,0.405,0.291,1.94546524506673e-23
Tm4sf1,5.07801065721537e-27,1.10872631507648,0.211,0.11,8.33504669275331e-23
Sgk1,7.6105014618014e-26,1.11248938277948,0.256,0.15,1.24918770994008e-21
Mt1,3.73296534722667e-25,1.10498658531014,0.367,0.257,6.12728932093785e-21
Gadd45g,7.9037726565605e-24,1.8679006011758,0.247,0.15,1.29732524384784e-19
Shisa5,9.07322861278551e-23,1.29773661066169,0.219,0.127,1.48927974450261e-18
Pnisr,8.09106749834441e-20,1.35573812451842,0.207,0.123,1.32806781917825e-15
A230050P20Rik,1.11131257960779e-19,1.23059283723807,0.216,0.128,1.82410846816823e-15
Itm2c,9.90335205150966e-17,1.29523244350575,0.21,0.135,1.62553620573479e-12
Abcg5,3.12439599081036e-16,1.17367399362079,0.216,0.136,5.12838357931612e-12
Gm6484,3.9430460728864e-16,1.68440470887119,0.408,0.342,6.47211582403573e-12
Aldoa,7.86038961466759e-16,1.15978679145003,0.235,0.159,1.29020435135154e-11
Fos,9.1074923122354e-16,1.45694409581813,0.279,0.199,1.49490378813032e-11
Btg2,6.99576382763243e-15,1.44983372722023,0.268,0.193,1.14828467466759e-10
Bax,9.60472807493483e-15,1.02442058557713,0.207,0.134,1.5765200662198e-10
Sptbn1,1.1079014003375e-13,1.05324986890455,0.23,0.158,1.81850935851398e-09
Wbp5,2.17369361396772e-13,1.02914009220075,0.22,0.152,3.56790069796661e-09
Hexa,2.7940774881078e-13,1.15965361932712,0.215,0.147,4.58619878898015e-09
Cst3,4.83986593671867e-13,1.09006003162772,0.54,0.507,7.94415594853002e-09
Neat1,1.05573465529819e-12,1.74487246994092,0.534,0.507,1.73288286320645e-08
Ccnl1,2.1676150545807e-12,1.08148298756855,0.206,0.138,3.55792335058876e-08
Malat1,1.05526277199578e-09,1.99639418105669,0.926,0.958,1.73210831395387e-05
Mlxipl,2.67418963869843e-09,1.02928355784917,0.313,0.248,4.3894148729596e-05
Slc22a30,3.65186818648336e-08,1.27541093087871,0.374,0.335,0.000599417644129379
Ier2,9.56276050613204e-08,1.27539825858149,0.269,0.221,0.00156963150947651
