,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ndufa3,1.82276651664749e-139,1.31236885361676,0.76,0.536,2.99188896042519e-135
Acadm,3.99168606687233e-139,1.84100550376902,0.651,0.378,6.55195351016425e-135
Sec61g,7.76470090019797e-139,1.22397061298634,0.793,0.582,1.27449800575849e-134
Thrsp,3.2343130735739e-138,2.31308405124366,0.607,0.311,5.30880147896421e-134
Stard10,9.63666791274445e-137,1.2300816745128,0.781,0.569,1.58176267119787e-132
Uqcrh,2.24312618241354e-136,1.14755753401841,0.808,0.654,3.68186731581358e-132
S100a1,4.13815883048525e-136,1.49099137832129,0.706,0.453,6.79237390435849e-132
Mat1a,4.1862461900268e-136,1.10404368308254,0.84,0.635,6.87130449630998e-132
Ndufv2,5.24530577276289e-135,1.89981549817112,0.606,0.298,8.609644895413e-131
Psen2,1.00959979653653e-134,1.37841605915744,0.74,0.544,1.65715710603506e-130
Nrn1,3.02658067546756e-134,2.92729907940018,0.456,0.127,4.96782952071246e-130
Ndufa5,9.92580840015181e-134,1.6131586284044,0.682,0.435,1.62922219080092e-129
Gamt,4.66224999560318e-133,1.79894145778733,0.645,0.395,7.65261714278306e-129
Ethe1,4.38556454555455e-132,2.15259638241868,0.596,0.318,7.19846564507324e-128
Higd1a,8.53020637276424e-132,1.92925224568346,0.615,0.341,1.40014807402552e-127
Ndufb6,9.97969450109776e-132,1.72357499406617,0.645,0.375,1.63806705541019e-127
Iscu,9.23298425146556e-130,1.90709331597406,0.597,0.293,1.51550203503556e-125
Sdhd,1.43823922301479e-129,2.38589031008198,0.52,0.207,2.36072586065648e-125
Hmgcl,1.3260580231073e-128,2.21834263497871,0.55,0.243,2.17659163912832e-124
Ndufa7,4.14970085371389e-128,1.33330429075571,0.74,0.531,6.81131898128598e-124
Gclm,5.77739467417307e-128,2.19800734068756,0.549,0.253,9.48301561818767e-124
Nit2,1.67863598160943e-126,2.23395710287486,0.549,0.258,2.75531310021372e-122
Ndufb11,7.3005517026876e-126,1.43441445410476,0.708,0.481,1.19831255647914e-121
Grhpr,3.89607137194599e-124,1.87031418927704,0.614,0.362,6.39501154991215e-120
Ndufs3,5.50722841002026e-123,1.8508895760233,0.598,0.312,9.03956471220726e-119
Atp5g2,5.98161415827847e-123,1.60281803177512,0.651,0.379,9.81822147939828e-119
Fah,8.16535772637122e-123,1.60407511276085,0.671,0.456,1.34026181720657e-118
Leap2,2.54527972512348e-122,1.55445416952731,0.672,0.425,4.17782214081767e-118
Gabarap,4.86708286771298e-122,1.2433135236577,0.74,0.49,7.98882981906409e-118
Pomp,2.26132669474493e-121,1.35449182341459,0.706,0.449,3.71174163675433e-117
Skp1a,7.07500215021162e-121,1.86402794153374,0.591,0.312,1.16129085293574e-116
Haao,7.50941017819185e-121,1.95992458076096,0.592,0.338,1.23259458664841e-116
Fdx1,7.90539767237928e-121,2.10941830810637,0.544,0.255,1.29759197394433e-116
Cmpk1,9.21789405760678e-121,2.19921498171185,0.524,0.22,1.51302513061558e-116
BC002163,2.71954633620896e-120,1.94566323735082,0.556,0.251,4.46386335625339e-116
Romo1,1.08497146253671e-119,1.45319624677536,0.671,0.417,1.78087215860775e-115
Hao1,4.50399991920935e-119,1.82066315698201,0.595,0.318,7.39286546739022e-115
Qdpr,1.04950115156435e-118,1.78318182974671,0.624,0.391,1.72265119017773e-114
Hspd1,3.46822659431807e-117,1.56748981181299,0.669,0.454,5.69274713191368e-113
Ndufb8,4.56600928563491e-117,1.50699070158495,0.661,0.425,7.49464764144114e-113
Tpi1,1.06747916787074e-116,1.81415353598856,0.607,0.364,1.75216030614303e-112
Khk,8.27713960739273e-116,1.15421991508155,0.776,0.628,1.35860969515744e-111
Selenbp1,9.11277066675881e-116,2.02220206677274,0.562,0.293,1.49577017724179e-111
Mrpl12,4.51299162529472e-115,2.03710863206885,0.553,0.276,7.40762445375875e-111
Sult2a8,1.30555709856934e-114,2.17706279553772,0.593,0.358,2.14294142159172e-110
Hint2,2.50944542669077e-114,1.67916501916981,0.632,0.395,4.11900372337023e-110
Fmo5,3.66005610335318e-114,1.10493437071966,0.725,0.502,6.00761608804391e-110
Anapc13,1.1409794736871e-113,1.72389869908162,0.602,0.341,1.87280370811e-109
Gsta4,1.17473295202485e-112,3.05229706349631,0.405,0.115,1.92820666745359e-108
Grpel1,4.88052294278928e-112,1.90000694742245,0.544,0.254,8.01089035829432e-108
Mocs2,6.56752487528632e-112,2.14920682910476,0.492,0.191,1.0779935330295e-107
0610005C13Rik,1.87184633691564e-111,2.20909751163935,0.509,0.23,3.07244857741333e-107
Mrpl14,3.3153715143235e-111,1.81860428037083,0.574,0.303,5.44185080361059e-107
Nop10,5.34896437908955e-111,1.44698103066753,0.66,0.407,8.77979013183758e-107
Ndufa8,6.65638807179396e-111,1.66342761457375,0.59,0.311,1.09257953810426e-106
Aldh8a1,1.33165369513682e-110,2.46015758621887,0.474,0.19,2.18577637519757e-106
Glrx5,6.03610700956149e-110,1.95983473956553,0.55,0.277,9.90766604549423e-106
Gm12338,1.68799722597395e-109,1.55908052052852,0.634,0.369,2.77067864671364e-105
2410015M20Rik,6.97123120518936e-109,1.49350123665312,0.652,0.424,1.14425789001978e-104
Atp5a1,2.90964311741715e-108,1.11147274271955,0.777,0.658,4.77588821292851e-104
Sec61b,6.26827886779812e-108,1.31951303572064,0.692,0.467,1.02887529336038e-103
Txn2,1.80565371777091e-107,1.92071269604038,0.541,0.267,2.96380001234918e-103
Ndufa12,3.61901820994315e-107,1.63359214977213,0.592,0.324,5.94025648980068e-103
Eif4a1,4.34270285478319e-107,1.4082314082066,0.686,0.491,7.12811246584113e-103
Naca,9.10961870822773e-106,1.19124074200841,0.717,0.481,1.4952528147685e-101
Acot13,9.22310589306882e-106,2.47649002383183,0.423,0.134,1.51388060128832e-101
Psma7,1.06374564076674e-104,1.36587426780797,0.668,0.423,1.74603209475453e-100
Sult1d1,2.56920725915907e-104,2.46111319425223,0.451,0.171,4.2170967951837e-100
Timm13,7.26629525753177e-104,1.5351940392017,0.619,0.379,1.19268970357126e-99
Abhd14b,3.11038808825585e-103,1.9056950437432,0.505,0.228,5.10539100806315e-99
Timm8b,3.9301911984081e-103,2.02626716462885,0.509,0.235,6.45101583306706e-99
Plin2,3.17787625215116e-102,1.59009483855679,0.67,0.514,5.21616608028091e-98
Sdhc,2.58765993334745e-101,2.03569498400327,0.508,0.245,4.2473850145965e-97
0610011F06Rik,2.96746285087697e-101,1.91771332030622,0.551,0.307,4.87079352342946e-97
Agmat,1.77374452520741e-100,2.14532174750942,0.493,0.233,2.91142426367545e-96
Acads,2.63422714910086e-100,2.12871114041905,0.492,0.227,4.32382044253415e-96
Psmb6,4.08583955602039e-100,1.46767646686216,0.621,0.387,6.70649704725187e-96
Ndufb7,1.35478643509632e-99,1.35750521673367,0.655,0.46,2.22374645456711e-95
Ptms,2.37668480658406e-99,1.41000230530205,0.653,0.469,3.90109044152708e-95
Ppdpf,8.74127860742126e-99,1.97343409036145,0.509,0.245,1.43479347062213e-94
Fam25c,8.98209603245379e-99,2.57187174620756,0.417,0.144,1.47432124276697e-94
Psmb5,2.62757368248329e-98,1.73502871880407,0.537,0.265,4.31289944242807e-94
Akr1a1,1.55400752044711e-97,1.11269478731159,0.743,0.587,2.55074794406188e-93
Iah1,2.20473562222815e-97,2.06405772552808,0.496,0.237,3.61885305032529e-93
Orm1,2.81243673872961e-97,1.02457704361478,0.801,0.603,4.61633366295079e-93
Ube2d3,4.73736780710579e-97,1.33377170354488,0.654,0.453,7.77591551858345e-93
Sod2,1.00359612300517e-96,1.58183621845995,0.615,0.414,1.64730267630069e-92
Ost4,2.74398352078537e-96,1.40291229914565,0.571,0.28,4.50397455101711e-92
Vamp8,7.24711748904174e-96,1.39382124969235,0.633,0.401,1.18954186465131e-91
Lamtor2,9.68648514694021e-95,1.45322146709095,0.582,0.32,1.58993967201877e-90
Hypk,1.95361382408347e-94,1.51604033132392,0.588,0.346,3.2066617308506e-90
Psmb3,2.11971281550251e-94,1.38097866070658,0.608,0.361,3.47929661536583e-90
Psma3,3.72095169306992e-94,1.47140285630088,0.594,0.349,6.10757010900496e-90
Gsta2,2.61460992937069e-93,3.25472365783179,0.349,0.095,4.29162073806904e-89
Lap3,1.15979881557534e-92,1.89931652456612,0.54,0.32,1.90369377588536e-88
1110001J03Rik,1.96889864551589e-92,2.07252260189492,0.459,0.196,3.23175023674978e-88
Spr,2.53666083211733e-92,1.84027442596877,0.51,0.256,4.16367508983739e-88
Mrpl42,1.27939294339101e-91,1.81875183025071,0.487,0.217,2.099995577282e-87
Nipsnap3b,5.13956260842192e-91,2.26521434298117,0.431,0.171,8.43607806546373e-87
Nme1,3.61435667825891e-90,1.54405203523122,0.572,0.342,5.93260505169417e-86
Arpp19,6.21671526326401e-89,1.33814316732088,0.633,0.414,1.02041164331215e-84
Mrps24,8.21667302164465e-89,1.56549883754651,0.569,0.336,1.34868470977275e-84
Pipox,8.22917574921739e-89,2.09893365137373,0.444,0.191,1.35073690747654e-84
Ak2,1.153668461162e-88,1.60235125928369,0.526,0.282,1.89363141215131e-84
Mcee,2.27365048105504e-87,2.15709439567323,0.419,0.161,3.73196989960375e-83
Mdh2,2.38961811584496e-87,1.63311163103342,0.561,0.339,3.92231917534792e-83
Psmb1,2.80365771387729e-85,1.34968742346827,0.6,0.372,4.60192377155818e-81
