,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NIBAN1,0,4.3392964062673,0.598,0.039,0
ROBO1,0,4.84669662203265,0.587,0.028,0
CD58,0,2.61258115803183,0.742,0.184,0
B3GNT2,0,2.4697758581809,0.809,0.252,0
NEK6,0,3.39860128208995,0.631,0.074,0
AL049873.1,0,2.1262745192785,0.722,0.165,0
RPS15AP11,0,2.51742019686846,0.674,0.118,0
TIFA,0,2.44942441538709,0.806,0.252,0
DAPK1,0,4.61309004753834,0.58,0.026,0
TSC22D3,0,3.91823215001485,0.589,0.037,0
BATF,0,2.7131711101628,0.737,0.187,0
AC026403.1,0,2.34034735207395,0.71,0.16,0
RFTN1,0,2.36879694104982,0.773,0.225,0
MYLIP,0,2.31456722590005,0.734,0.187,0
CD55,0,2.51762834103144,0.683,0.137,0
SESN2,0,2.37230824953819,0.786,0.24,0
GADD45A,0,2.46175934458371,0.811,0.269,0
AGPAT3,0,2.24295260963132,0.81,0.268,0
AC073861.1,0,2.48200628776634,0.858,0.316,0
MREG,0,2.43683268830869,0.703,0.161,0
AC090204.1,0,2.37181885401353,0.669,0.128,0
CCDC88B,0,3.01585201084437,0.613,0.074,0
JUNB,0,2.35484365776699,0.681,0.146,0
PVT1,0,3.03695186705618,0.606,0.071,0
MTND1P23,0,2.63901361841597,0.667,0.134,0
CLIC2,0,4.48966285229958,0.562,0.029,0
PTPN13,0,4.8871645694316,0.554,0.021,0
CADM1,0,3.42659269966978,0.59,0.057,0
SPIB,0,4.77482877804118,0.555,0.024,0
LGALS3,0,4.8502952064093,0.552,0.024,0
GOLGA8A,0,2.70818919306338,0.672,0.145,0
CYP51A1,0,4.57686585714607,0.555,0.028,0
UNC13C,0,4.52898332311536,0.551,0.025,0
HCLS1,0,2.13797425742259,0.844,0.32,0
AL590867.2,0,2.14862629466074,0.674,0.152,0
NBEAL1,0,2.305431660537,0.826,0.306,0
AC000120.2,0,4.56807701815151,0.548,0.028,0
LINC01619,0,4.94630178743505,0.545,0.027,0
PBDC1,0,4.81437769287732,0.535,0.02,0
CFLAR,0,2.09999697579858,0.824,0.31,0
TNIP1,0,2.72839806599645,0.876,0.364,0
IRF5,0,3.8145452403206,0.549,0.037,0
RPL39P3,0,2.33271227857977,0.652,0.14,0
MGLL,0,3.47843199292543,0.569,0.058,0
LY75-CD302,0,5.30082356776735,0.527,0.017,0
LINC00158,0,5.14230379952063,0.528,0.018,0
AL139393.3,0,3.90287154961384,0.556,0.049,0
TSPAN33,0,2.37674257612378,0.634,0.128,0
AC007192.1,0,2.56595545833824,0.79,0.285,0
PMAIP1,0,3.00954260398446,0.92,0.415,0
RPL12P16,0,2.56439026347117,0.595,0.09,0
WDR63,0,4.85941461701665,0.522,0.022,0
RPS4XP11,0,2.56227185739854,0.593,0.094,0
RPRM,0,5.1873827769083,0.516,0.017,0
IL18R1,0,5.5095301567472,0.511,0.015,0
TMEM132D-AS1,0,5.03419624940087,0.514,0.02,0
MIR3681HG,0,5.3852583791471,0.51,0.016,0
IFIT3,0,4.20235363863243,0.527,0.034,0
MYO1C,0,2.73699984641611,0.576,0.083,0
RPL3P4,0,2.07703121418032,0.827,0.334,0
RPL10P3,0,2.25286832456509,0.846,0.355,0
S100A4,0,3.9740134651985,0.57,0.079,0
