,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
UBE2T,1.42730649421689e-123,0.62063070505366,0.96,0.848,2.85461298843377e-120,0,UBE2T
KPNA2,8.50098237580569e-121,0.417460753762548,0.945,0.82,1.70019647516114e-117,0,KPNA2
TMEM106C,3.03367626118011e-119,0.558665827977828,0.977,0.899,6.06735252236021e-116,0,TMEM106C
CDCA8,2.38686134921812e-118,0.629347959853959,0.881,0.746,4.77372269843623e-115,0,CDCA8
MND1,4.27349367313494e-118,0.620243208948588,0.956,0.851,8.54698734626988e-115,0,MND1
ANP32E,7.35993367202056e-118,0.473887103220107,0.995,0.953,1.47198673440411e-114,0,ANP32E
PRC1,1.20892801839358e-117,0.618630920556453,0.935,0.78,2.41785603678716e-114,0,PRC1
KIF15,1.26264879286059e-117,0.730435741876983,0.915,0.773,2.52529758572118e-114,0,KIF15
FAM111A,5.89598240995937e-116,0.722691467347874,0.923,0.803,1.17919648199187e-112,0,FAM111A
KIF23,6.54460252096589e-116,0.782668170120851,0.841,0.689,1.30892050419318e-112,0,KIF23
ARHGAP11A,1.95733404322712e-115,0.707449244880466,0.901,0.734,3.91466808645424e-112,0,ARHGAP11A
ZWINT,2.55469142935586e-114,0.630883170536756,0.936,0.815,5.10938285871173e-111,0,ZWINT
H1F0,2.88961061736327e-114,0.749462884088078,0.889,0.788,5.77922123472654e-111,0,H1F0
BUB3,2.17839408920063e-109,0.458397638261678,0.991,0.939,4.35678817840126e-106,0,BUB3
BIRC5,6.64098375178068e-109,0.53614704740749,0.93,0.785,1.32819675035614e-105,0,BIRC5
RAD51AP1,9.22761733401887e-109,0.847719930869581,0.862,0.702,1.84552346680377e-105,0,RAD51AP1
NUCB2,2.88734659731625e-107,0.423770880344657,1,0.997,5.7746931946325e-104,0,NUCB2
CDCA3,7.22431133201335e-105,0.76240468527504,0.809,0.663,1.44486226640267e-101,0,CDCA3
TTK,1.82913365536459e-103,0.782865095936332,0.869,0.743,3.65826731072918e-100,0,TTK
CKAP2L,4.60544270735658e-103,0.768885791847782,0.83,0.704,9.21088541471316e-100,0,CKAP2L
KNL1,6.26166831690063e-103,0.762867033697544,0.86,0.726,1.25233366338013e-99,0,KNL1
PBK,1.81505723437074e-97,0.824795842625637,0.837,0.692,3.63011446874149e-94,0,PBK
CENPF,8.03155116583758e-97,0.335043463861228,0.973,0.866,1.60631023316752e-93,0,CENPF
CKLF,5.37926048964519e-96,0.440801505146883,0.986,0.949,1.07585209792904e-92,0,CKLF
HMGB1,6.63048910064738e-94,0.348983794958299,0.999,0.989,1.32609782012948e-90,0,HMGB1
AC068831.7,1.59383579414673e-93,0.601469065300608,0.9,0.759,3.18767158829346e-90,0,AC068831.7
CENPM,7.62415942812037e-93,0.743824149167879,0.853,0.706,1.52483188562407e-89,0,CENPM
ARL6IP1,1.06170474948579e-92,0.284369940848573,0.962,0.855,2.12340949897158e-89,0,ARL6IP1
CDCA2,6.95271418965311e-91,0.819732699054048,0.78,0.645,1.39054283793062e-87,0,CDCA2
BUB1B,5.24381513817106e-88,0.576317433961015,0.882,0.759,1.04876302763421e-84,0,BUB1B
CCNA2,1.11317301382343e-87,0.572386244466319,0.842,0.723,2.22634602764685e-84,0,CCNA2
AURKA,3.29304673699237e-87,0.463994317594173,0.826,0.674,6.58609347398475e-84,0,AURKA
KIF14,3.33477884210694e-87,0.389243526598586,0.9,0.741,6.66955768421389e-84,0,KIF14
CKS2,8.52531169254158e-85,0.365475823295087,0.967,0.893,1.70506233850832e-81,0,CKS2
CIP2A,9.29928959939601e-85,0.698696361669742,0.859,0.737,1.8598579198792e-81,0,CIP2A
SMC2,1.67070566264558e-84,0.434413601244416,0.981,0.916,3.34141132529115e-81,0,SMC2
MAD2L1,1.07221718353323e-83,0.482828321615091,0.937,0.849,2.14443436706647e-80,0,MAD2L1
CCNF,2.48589537898895e-80,0.575256939887629,0.838,0.702,4.9717907579779e-77,0,CCNF
SHCBP1,4.42622992176641e-79,0.740744592798809,0.781,0.65,8.85245984353283e-76,0,SHCBP1
CENPW,1.38256406523122e-78,0.463318697765675,0.925,0.838,2.76512813046243e-75,0,CENPW
CENPK,4.83370526106674e-78,0.652340050258638,0.855,0.762,9.66741052213348e-75,0,CENPK
CENPA,8.03862323668064e-78,0.549055008529123,0.839,0.689,1.60772464733613e-74,0,CENPA
FANCD2,1.01606982716362e-77,0.633421738424835,0.876,0.761,2.03213965432724e-74,0,FANCD2
ESCO2,1.22650121529748e-77,0.760653375435168,0.789,0.686,2.45300243059496e-74,0,ESCO2
FBXO5,2.41328761174672e-77,0.634734293283618,0.864,0.707,4.82657522349345e-74,0,FBXO5
MFGE8,4.04543810436443e-76,0.678746004441196,0.815,0.721,8.09087620872886e-73,0,MFGE8
RTKN2,4.67368262136818e-76,0.768287118089133,0.824,0.703,9.34736524273636e-73,0,RTKN2
NUF2,5.70770395732092e-76,0.47230595054422,0.893,0.766,1.14154079146418e-72,0,NUF2
SPAG5,1.02478535202061e-75,0.541565710217162,0.872,0.748,2.04957070404123e-72,0,SPAG5
ANLN,9.58080069820275e-74,0.894166221628695,0.78,0.636,1.91616013964055e-70,0,ANLN
DUT,2.32802347161526e-71,0.2836011833259,0.997,0.968,4.65604694323051e-68,0,DUT
CENPE,4.94175035745272e-71,0.293906091651262,0.873,0.742,9.88350071490544e-68,0,CENPE
SKA3,2.42293392666718e-70,0.647375509874061,0.818,0.707,4.84586785333436e-67,0,SKA3
BUB1,4.21537870362994e-70,0.427204559335964,0.927,0.82,8.43075740725988e-67,0,BUB1
CCDC34,6.36106377490375e-70,0.469853169147974,0.931,0.86,1.27221275498075e-66,0,CCDC34
DNMT1,3.81469762437806e-69,0.407156611873547,0.977,0.915,7.62939524875612e-66,0,DNMT1
ASF1B,4.28110595840652e-69,0.587412879597332,0.858,0.733,8.56221191681304e-66,0,ASF1B
TACC3,7.68306237630518e-68,0.519598013511477,0.851,0.725,1.53661247526104e-64,0,TACC3
PRIM1,1.07677083835228e-67,0.478152127834634,0.903,0.822,2.15354167670456e-64,0,PRIM1
CENPN,1.25711814755052e-67,0.623838950794855,0.815,0.723,2.51423629510103e-64,0,CENPN
MCM8,5.94360204496538e-67,0.491251706735245,0.897,0.786,1.18872040899308e-63,0,MCM8
ORC6,1.6029430526619e-65,0.492983421143804,0.874,0.778,3.2058861053238e-62,0,ORC6
SGO1,1.61447443352116e-65,0.680033818132298,0.803,0.703,3.22894886704232e-62,0,SGO1
RACGAP1,3.67486598457772e-65,0.575753623977133,0.822,0.72,7.34973196915543e-62,0,RACGAP1
CENPU,4.92503032145663e-65,0.401271416932205,0.939,0.851,9.85006064291326e-62,0,CENPU
RNASEH2B,9.7805492953724e-65,0.311194285789315,0.99,0.965,1.95610985907448e-61,0,RNASEH2B
CDKN3,6.61030541651463e-64,0.349452226782589,0.908,0.774,1.32206108330293e-60,0,CDKN3
SPDL1,4.73122499552188e-62,0.46053170458515,0.861,0.739,9.46244999104377e-59,0,SPDL1
NCAPD2,1.2927454228206e-61,0.469149637078199,0.912,0.813,2.5854908456412e-58,0,NCAPD2
TMPO,7.76427055368121e-61,0.428693938623751,0.931,0.843,1.55285411073624e-57,0,TMPO
CARHSP1,8.77218084366862e-61,0.442556167468252,0.912,0.83,1.75443616873372e-57,0,CARHSP1
CKAP2,2.31290123943238e-59,0.385170396776692,0.905,0.798,4.62580247886476e-56,0,CKAP2
CEP55,1.68762183976208e-58,0.419749615100507,0.864,0.772,3.37524367952415e-55,0,CEP55
GMFG,1.17602203758605e-57,0.319668904976801,0.987,0.972,2.35204407517209e-54,0,GMFG
CCNB2,5.04580873360897e-57,0.229041812883902,0.912,0.783,1.00916174672179e-53,0,CCNB2
KNSTRN,8.97622535368207e-57,0.381774779643172,0.83,0.724,1.79524507073641e-53,0,KNSTRN
FAM83D,1.00789142607071e-55,0.969157027569487,0.68,0.549,2.01578285214142e-52,0,FAM83D
NEIL3,4.36771790259101e-55,0.84482795599767,0.753,0.647,8.73543580518203e-52,0,NEIL3
PRR11,7.44071367951669e-55,0.425760088441092,0.862,0.767,1.48814273590334e-51,0,PRR11
CHEK1,1.24467149951475e-54,0.395273082772679,0.906,0.817,2.4893429990295e-51,0,CHEK1
ECT2,1.94677789926177e-54,0.497393246672793,0.834,0.722,3.89355579852355e-51,0,ECT2
CD3D,2.62548434395904e-54,0.263339478183324,0.999,0.996,5.25096868791807e-51,0,CD3D
MIS18A,3.23546125059692e-54,0.420253696371037,0.887,0.821,6.47092250119384e-51,0,MIS18A
DBF4,3.47243284362108e-54,0.399087155022143,0.892,0.799,6.94486568724216e-51,0,DBF4
KIF20B,4.11013449293422e-54,0.411750856733235,0.881,0.781,8.22026898586844e-51,0,KIF20B
USP1,1.53791864085543e-53,0.364121150395286,0.978,0.912,3.07583728171086e-50,0,USP1
SKA2,1.70301591111683e-53,0.403072917151328,0.912,0.833,3.40603182223367e-50,0,SKA2
ANGPT2,2.40373271637905e-52,0.199794439794898,0.106,0.217,4.80746543275811e-49,0,ANGPT2
EGR4,3.86113570394782e-51,0.715199313665938,0.089,0.276,7.72227140789564e-48,0,EGR4
IDH2,6.4152459942525e-51,0.32846356612299,0.977,0.936,1.2830491988505e-47,0,IDH2
INCENP,1.88241899949518e-50,0.6660299120713,0.765,0.662,3.76483799899036e-47,0,INCENP
ASRGL1,2.55332428818869e-50,0.418698744392141,0.884,0.82,5.10664857637739e-47,0,ASRGL1
UBE2C,7.72176772392336e-50,0.823352656868447,0.701,0.506,1.54435354478467e-46,0,UBE2C
TIMELESS,3.49358395952411e-49,0.460074101553206,0.893,0.795,6.98716791904821e-46,0,TIMELESS
DHFR,1.30903014483269e-48,0.277263688859743,0.95,0.878,2.61806028966538e-45,0,DHFR
TMEM18,8.75020815530397e-48,0.359459736491947,0.938,0.884,1.75004163106079e-44,0,TMEM18
CEP152,9.34957527720444e-48,0.485662505213118,0.822,0.719,1.86991505544089e-44,0,CEP152
NCAPG2,1.92948939398192e-47,0.565843635999348,0.794,0.711,3.85897878796383e-44,0,NCAPG2
ESPL1,9.55301669960667e-47,0.637243312182521,0.759,0.643,1.91060333992133e-43,0,ESPL1
LINC01694,9.90088612631197e-47,0.700753789083151,0.123,0.266,1.98017722526239e-43,0,LINC01694
AC006460.2,1.72744654114469e-46,0.962547853216472,0.162,0.362,3.45489308228937e-43,0,AC006460.2
DSCC1,2.55599660402621e-46,0.540583692494298,0.732,0.659,5.11199320805243e-43,0,DSCC1
OIP5,3.58446480666786e-46,0.591527775778928,0.784,0.693,7.16892961333573e-43,0,OIP5
CKAP5,8.86283095650491e-46,0.334285578158502,0.927,0.814,1.77256619130098e-42,0,CKAP5
ARHGAP19,2.1757486920404e-45,0.476375242387855,0.82,0.726,4.3514973840808e-42,0,ARHGAP19
AC093525.8,6.87418962565317e-45,0.489577234087944,0.064,0.155,1.37483792513063e-41,0,AC093525.8
ARL4C,2.1176765844273e-44,0.295135501922509,0.96,0.919,4.2353531688546e-41,0,ARL4C
GMNN,6.52203766238565e-44,0.335360696649309,0.906,0.817,1.30440753247713e-40,0,GMNN
UBC,7.51898255453177e-44,0.302092567601061,0.982,0.933,1.50379651090635e-40,0,UBC
LHX1-DT,9.64982765523889e-44,2.0019570429062,0.072,0.218,1.92996553104778e-40,0,LHX1-DT
CCNG2,1.41003588968567e-43,0.497351730775324,0.815,0.727,2.82007177937134e-40,0,CCNG2
ATAD2,4.30405625496547e-43,0.352514513759614,0.917,0.802,8.60811250993094e-40,0,ATAD2
AC011379.2,1.17856572549891e-42,0.598481788404992,0.075,0.153,2.35713145099783e-39,0,AC011379.2
TBCAP3,1.18220090201756e-42,0.806447813455668,0.057,0.083,2.36440180403513e-39,0,TBCAP3
UBE2S,1.49727850953047e-42,0.175858887372057,0.984,0.925,2.99455701906094e-39,0,UBE2S
HOOK1,3.8654397598131e-42,0.206426192943198,0.049,0.118,7.7308795196262e-39,0,HOOK1
DBNDD2,1.72992906798079e-41,0.380075020864552,0.87,0.798,3.45985813596157e-38,0,DBNDD2
AC139491.2,1.96529138138534e-41,0.323548273480299,0.094,0.236,3.93058276277068e-38,0,AC139491.2
AL020997.2,2.69620216166371e-41,0.28538095250993,0.109,0.192,5.39240432332742e-38,0,AL020997.2
TUBA4A,2.76942939888502e-41,1.09430935948176,0.611,0.487,5.53885879777003e-38,0,TUBA4A
NR4A3,5.75121030522547e-41,1.14503535921244,0.101,0.163,1.15024206104509e-37,0,NR4A3
CDC45,6.08906915614186e-41,0.485071973273152,0.823,0.717,1.21781383122837e-37,0,CDC45
STIL,8.2540837076161e-41,0.660098543407474,0.725,0.659,1.65081674152322e-37,0,STIL
STK39,1.28861142674024e-40,0.369863128842828,0.882,0.811,2.57722285348047e-37,0,STK39
COLEC12,1.95500151651145e-40,0.625092476007058,0.148,0.309,3.9100030330229e-37,0,COLEC12
SCCPDH,6.73769819433698e-40,0.307484122945549,0.925,0.863,1.3475396388674e-36,0,SCCPDH
LAT,6.7818876026103e-40,0.352797923423111,0.9,0.878,1.35637752052206e-36,0,LAT
JAM2,1.65337150748298e-39,0.24193838767671,0.074,0.157,3.30674301496596e-36,0,JAM2
KIF4A,1.97480741313059e-39,0.323522034588271,0.792,0.698,3.94961482626117e-36,0,KIF4A
SYS1-DBNDD2,2.00236654803167e-39,0.369983577350699,0.87,0.798,4.00473309606334e-36,0,SYS1-DBNDD2
BRD8,3.10494017658443e-39,0.312440305573286,0.863,0.773,6.20988035316887e-36,0,BRD8
CALM2,1.24456124966806e-38,0.241942769512036,0.988,0.952,2.48912249933612e-35,0,CALM2
