,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ATIC,9.91656000330558e-26,-0.349069845643681,0.883,0.919,2.74093718491366e-21
CBX3,1.0256968161837e-25,-0.239484537821562,0.992,0.994,2.83502599993175e-21
CCNG2,1.38676812045311e-25,0.915958721125691,0.476,0.287,3.83302708493239e-21
PLSCR1,1.46191243867953e-25,-0.900197442198177,0.344,0.496,4.04072598051023e-21
PGAM1,1.46307622608696e-25,-0.274849225833098,0.977,0.99,4.04394268890435e-21
NIN,1.88408889456227e-25,-0.563051142812361,0.671,0.781,5.20762170457012e-21
THEM6,1.99549079116481e-25,-0.95982463074016,0.285,0.445,5.51553654677953e-21
AL671762.1,2.13325307003067e-25,0.697943922389994,0.859,0.8,5.89631148556476e-21
TMBIM6,2.54898687773777e-25,0.267575641202614,0.992,0.993,7.0453997300672e-21
NAA50,2.79961550624118e-25,-0.407033960612267,0.842,0.912,7.73813725925062e-21
ID2,3.0076007109662e-25,1.79828042803449,0.243,0.105,8.31300836511058e-21
PCBP2,3.7631700118236e-25,0.349557475733045,0.953,0.943,1.04014019126804e-20
ANP32E,3.89330817560141e-25,0.363006003539169,0.98,0.977,1.07611037973623e-20
NUDT8,5.16186826381867e-25,-0.659588040422053,0.486,0.638,1.42674038811948e-20
RCSD1,5.50508551414474e-25,0.600159285596015,0.734,0.582,1.52160563610961e-20
RAPGEF5,5.73329381783993e-25,-1.1865983153279,0.144,0.289,1.58468241125096e-20
TRAF1,8.61458734640987e-25,2.3247115673451,0.132,0.03,2.38107194254769e-20
USP37,8.90047090645606e-25,-0.728524350841557,0.41,0.568,2.46009015854446e-20
PDCD5,9.72754958311422e-25,-0.308530520955196,0.933,0.965,2.68869470477277e-20
TMEM109,1.00547129298985e-24,-0.424340705108018,0.752,0.835,2.77912265382395e-20
ANAPC16,1.05810926343209e-24,0.362217181647039,0.91,0.858,2.9246140041263e-20
SMCO4,1.14516320545177e-24,-0.417922146537702,0.768,0.85,3.1652310998687e-20
COX20,1.26660403076271e-24,0.602358118756287,0.778,0.662,3.50089354102813e-20
MAT2A,1.97751094820786e-24,-0.414051185605048,0.839,0.893,5.46584026084653e-20
CTPS1,3.05099678582489e-24,-0.472021971815681,0.74,0.84,8.43295511602001e-20
PA2G4,3.34706940275589e-24,-0.268243570936508,0.983,0.993,9.25129982921728e-20
DNMT1,3.57141387482643e-24,-0.28517962087736,0.955,0.966,9.87138795002026e-20
CTDSPL,3.85043665616304e-24,-0.831016317272275,0.374,0.525,1.06426069176347e-19
TNFAIP3,4.81568022090745e-24,1.01163533873284,0.531,0.368,1.33105401305882e-19
HAT1,5.14012600144065e-24,-0.391579504294079,0.844,0.894,1.4207308267982e-19
YBX1,5.42659064576425e-24,-0.161419631601508,0.998,1,1.49990965448924e-19
BARD1,6.06112673336331e-24,-0.676805785671188,0.463,0.609,1.67529542910162e-19
FAM136A,6.7227820752685e-24,-0.389297853597858,0.868,0.924,1.85817696560421e-19
SFXN1,7.25765415160336e-24,-0.459334850260429,0.765,0.844,2.00601560750317e-19
RFLNB,7.52597762785167e-24,-0.567343672642254,0.635,0.747,2.0801802163382e-19
STAG3,8.0864760185596e-24,0.653649247548238,0.72,0.58,2.23510197152987e-19
PPAT,8.3373471438042e-24,-0.520963257201802,0.656,0.768,2.30444275054748e-19
PDXP,9.77478637069063e-24,-0.54763064328258,0.617,0.738,2.70175095285889e-19
Z83844.3,9.92659927718236e-24,-0.546845451426524,0.616,0.739,2.7437120402132e-19
NETO2,1.03855576396626e-23,-0.52864633050759,0.675,0.771,2.87056813160275e-19
SARS,1.27528660792799e-23,0.521510890436469,0.873,0.836,3.52489218431297e-19
SELENOK,1.3533773920764e-23,0.579251279145446,0.779,0.665,3.74073511169917e-19
TRAT1,1.36324565028393e-23,0.834107700918395,0.522,0.352,3.7680109773848e-19
PRXL2A,1.44004137288426e-23,-0.484189798514764,0.622,0.743,3.9802743546521e-19
RPS27,1.47398279888691e-23,0.434409879693844,1,1,4.07408845612341e-19
PTGES3,3.04572456874241e-23,-0.280921634642409,0.981,0.991,8.41838270800403e-19
BZW2,3.94330779365451e-23,-0.36992933366575,0.833,0.89,1.08993027416611e-18
RGS16,4.33865557323743e-23,2.35953260109058,0.135,0.035,1.19920440044283e-18
LRRC58,6.17687313155665e-23,-0.40027618316935,0.831,0.872,1.70728773356226e-18
NME1,7.57391867236405e-23,-0.275248073661918,0.963,0.978,2.09343112104142e-18
PNP,8.00046634152971e-23,-0.44489231758927,0.789,0.852,2.21132889679881e-18
TTLL12,8.90860400949235e-23,-0.743660984116374,0.408,0.557,2.46233814822368e-18
HSP90AB1,9.63229037602211e-23,-0.281356773953802,0.999,1,2.66236505993251e-18
BRCA2,9.75139376837499e-23,-0.570007517391283,0.643,0.756,2.69528523757885e-18
RAD54L,1.20858546357362e-22,-0.574105005929762,0.477,0.62,3.34053022131748e-18
GLUD1,1.27055119889621e-22,-0.407191099657404,0.814,0.876,3.51180351374912e-18
DPYSL2,1.493200322754e-22,-0.683983820057025,0.467,0.605,4.12720569209206e-18
CD69,1.67912502408926e-22,1.4442785147273,0.354,0.202,4.64110156658271e-18
MIR155HG,1.70939145649058e-22,3.08216017249576,0.172,0.061,4.72475798573997e-18
CENPX,2.15881273756649e-22,-0.463732290162281,0.674,0.773,5.96695840663379e-18
EBI3,2.18856906698474e-22,2.68989728980487,0.135,0.037,6.04920490114582e-18
EIF1B,2.21155631230649e-22,0.521262975508406,0.761,0.664,6.11274164721514e-18
RPS19,2.22501868147795e-22,0.294164855273903,1,1,6.14995163560505e-18
AK4,2.24285011502314e-22,-1.02616614670764,0.178,0.326,6.19923771792396e-18
CACYBP,2.75309815743229e-22,-0.288873656979463,0.967,0.982,7.60956330714285e-18
SUZ12,2.76457927539523e-22,-0.338259202614546,0.889,0.928,7.64129711719241e-18
GART,3.51696578028138e-22,-0.411581477847803,0.82,0.868,9.72089341669772e-18
ICMT,4.04749326451637e-22,-0.427619467789703,0.698,0.795,1.11872713831232e-17
FAM72B,4.40810710701183e-22,1.48693182136565,0.188,0.07,1.21840080437807e-17
FAM92A,5.5364586465168e-22,-0.869519056622144,0.337,0.473,1.53027716989724e-17
ABCB10,5.90406014320147e-22,-0.389035792507565,0.667,0.813,1.63188222358089e-17
ATP1B3,6.21693241690005e-22,-0.320925604533946,0.887,0.931,1.71836012003117e-17
