,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SLC25A36,0.0226860175684645,-0.322179965247844,0.69,0.57,1
MAEA,0.0232829684818471,-0.639734982954406,0.522,0.428,1
MGST3,0.0235729273587869,-0.145699812945161,0.663,0.525,1
NUP62,0.0252922846424242,-0.108923625167378,0.812,0.642,1
KPNA2,0.0261381272370558,-0.387672801739612,0.7,0.574,1
MAGT1,0.0262351297960317,-0.632645517296657,0.54,0.449,1
UBE2L6,0.0269755769279877,-0.442910070291497,0.588,0.494,1
UBE2I,0.0293306008716637,-0.120537738757092,0.907,0.85,1
RAB11B,0.0309579553026294,-0.282100923103317,0.646,0.48,1
OST4,0.0309884908089565,-0.107022397232493,0.912,0.922,1
TGOLN2,0.0313132458399632,-0.230459303312347,0.816,0.698,1
RNF145,0.0317617050137206,-0.312191149367341,0.643,0.479,1
LSM10,0.0341358941205912,-0.578411031053702,0.503,0.419,1
SDCBP,0.0348571838625731,-0.206491878126646,0.645,0.489,1
KCMF1,0.0350826035932491,-0.368820074200204,0.709,0.58,1
PQBP1,0.0359162818225844,-0.56292610433883,0.566,0.455,1
LAMP1,0.0367313978032557,-0.439158622360536,0.653,0.53,1
WDR59,0.0385922626947792,-0.68503302395959,0.537,0.437,1
TXNDC9,0.0396777386672359,-0.426894848682521,0.527,0.39,1
RHOBTB3,0.0402034617559096,-0.664835264685846,0.5,0.423,1
TTC17,0.0403726137437345,-0.33941689376972,0.636,0.478,1
HIGD2A,0.0427279602682474,-0.171771913933001,0.823,0.732,1
RRAGA,0.044290865009235,-0.477891394260844,0.593,0.488,1
POLR2K,0.047217450699016,-0.236212353244839,0.781,0.671,1
DNAJA2,0.0480804638909568,-0.527812206709974,0.662,0.524,1
ORMDL3,0.0481618767588908,-0.346044280201437,0.586,0.436,1
NEMF,0.0521182767583905,-0.331351219473923,0.708,0.539,1
SLC25A38,0.0522672013354514,-0.620043729998784,0.601,0.475,1
DDX27,0.0534943135144247,-0.386463442874093,0.723,0.575,1
AATF,0.0543846799867216,-0.27077628962956,0.643,0.479,1
DNAJC10,0.0555432727154176,-0.555915362974624,0.545,0.448,1
PITPNB,0.0596328648317655,-0.257709638938236,0.708,0.535,1
GTF2H1,0.0618791025891975,-0.469933967714553,0.517,0.387,1
OS9,0.0645802346416892,-0.200971846280928,0.7,0.53,1
TRIM25,0.0646105772702053,-0.187499624777572,0.629,0.495,1
KHSRP,0.0648121142926531,-0.277490885391128,0.667,0.499,1
DNAJB6,0.0653569028913219,-0.314375348217799,0.633,0.472,1
ATP2A2,0.0673800981215237,-0.165274289103188,0.721,0.551,1
TUBB4B,0.0704933436718223,-0.401683486410908,0.804,0.635,1
ABI1,0.0714190213030796,-0.580964391263705,0.601,0.484,1
TRIM56,0.0739254349736688,-0.622730379033491,0.629,0.503,1
AC116366.3,0.0744769533347798,-0.309554245080969,0.734,0.56,1
TMEM167A,0.0762277533714867,-0.170098423917692,0.825,0.707,1
MTLN,0.0792312873091821,-0.365608089646333,0.567,0.425,1
DDIT4,0.0803158827814439,-0.779681177802518,0.677,0.5,1
METTL23,0.0807246519338819,-0.627532936932335,0.537,0.436,1
C15orf61,0.0845824443961665,-0.458529382988558,0.571,0.422,1
NDUFA3,0.0845918913602908,-0.102083394801638,0.758,0.618,1
CHMP2B,0.0849992934946155,-0.373093946051397,0.716,0.574,1
TRAPPC4,0.0861802865663058,-0.326082003083835,0.62,0.464,1
SNRNP27,0.0866939587799129,-0.545765533509049,0.545,0.444,1
CEP350,0.0870524737980708,-0.742466717024714,0.639,0.499,1
ANKRD12,0.0893880724576187,-0.524930521772751,0.609,0.453,1
SPTLC1,0.090237031590131,-0.634832836807179,0.518,0.422,1
NIPA2,0.0915548584497406,-0.493706000356905,0.614,0.496,1
MRPS25,0.0915799629407838,-0.356846450419993,0.681,0.56,1
ARPC5L,0.0921073892225536,-0.194056803703955,0.786,0.664,1
CIR1,0.0926747394632632,-0.434740782405893,0.741,0.607,1
SENP6,0.0927766718719486,-0.520008629853839,0.704,0.549,1
SSNA1,0.0966520433513166,-0.267844934901164,0.76,0.623,1
ERCC1,0.0975530128646348,-0.517177367980995,0.555,0.45,1
USP3,0.0989369008223497,-0.403742417268229,0.649,0.489,1
