pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_COMPLEMENT	0.266393442622951	0.266393442622951	0.173747838999571	-0.588235294117647	-1.24288659381234	4	S100A9 LTF HSPA1A S100A12
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0251197917753511	0.0376796876630267	0.352487857583619	0.763421359091755	1.5744167792711	6	IFI44L IFI27 ISG15 IFITM3 LY6E
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0251197917753511	0.0376796876630267	0.352487857583619	0.763421359091755	1.5744167792711	6	IFI44L IFI27 ISG15 IFITM3 LY6E
