pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_COMPLEMENT	0.769662921348315	0.769662921348315	0.041488040200221	0.411764705882353	0.78785888522564	3	S100A12 LTF S100A9
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.439606741573034	0.659410112359551	0.0676760401641789	0.535295034801091	1.02421830564979	3	MX1 ISG15 EIF2AK2
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.259510869565217	0.659410112359551	0.0940503465727813	0.569228795762955	1.17320146912926	4	MX1 ISG15 XAF1 EIF2AK2
