"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"CLP.PGLYRP1",2.27973110910074e-07,4.43729323302886,0.25,0.029,0.00558055378196771,"CLP"
"CLP.LCN2",1.30461763205365e-06,3.10786059068965,0.442,0.14,0.0319357350150413,"CLP"
"CLP.TRAF3IP3",1.4332196842936e-06,2.63003043751313,0.327,0.07,0.035083784651823,"CLP"
"CLP.RPL18A",1.57630753947904e-06,1.02461600268224,0.846,0.767,0.0385864322589075,"CLP"
"CLP.IFIT1",1.9854102316495e-06,4.41781616688936,0.154,0.006,0.048600857060548,"CLP"
"NPC.S100A9",1.54655798056464e-14,1.37070844131412,0.965,0.524,3.78581928062419e-10,"NPC"
"NPC.LTF",1.6119254615978e-14,2.19945335671441,0.754,0.179,3.94583233744526e-10,"NPC"
"NPC.SLC35F1",1.72576556821781e-14,2.80311627475163,0.754,0.324,4.22450153444038e-10,"NPC"
"NPC.S100A12",5.03393922810297e-14,1.80362171318459,0.684,0.159,1.23225798364733e-09,"NPC"
"NPC.XIST",7.44359182149286e-14,8.67061318468983,0.351,0,1.82211684198324e-09,"NPC"
"NPC.S100A8",4.42374887808227e-13,1.08583991118548,0.947,0.579,1.08288948786576e-08,"NPC"
"NPC.IFI44L",4.87910205768077e-11,3.53530101343146,0.456,0.069,1.19435539269968e-06,"NPC"
"NPC.RASAL2",7.51539958373019e-11,2.42090894647306,0.439,0.055,1.83969466410131e-06,"NPC"
"NPC.CAMP",3.16871433504272e-10,2.76598154469726,0.649,0.193,7.75669582075107e-06,"NPC"
"NPC.IFI6",5.20843678450711e-10,3.33556380950144,0.491,0.117,1.2749732404795e-05,"NPC"
"NPC.LGALS1",2.0281623486182e-09,3.58305696252011,0.509,0.131,4.96473861318249e-05,"NPC"
"NPC.XAF1",2.48036034799718e-09,2.74990223439052,0.596,0.221,6.07167409586229e-05,"NPC"
"NPC.RPL9",3.72291734952245e-09,1.44015011492363,0.737,0.331,9.11332937989601e-05,"NPC"
"NPC.MX1",9.94493204759954e-09,3.65334871103992,0.333,0.041,0.000243441991593189,"NPC"
"NPC.ISG15",1.22609395251579e-07,2.83613645039434,0.526,0.193,0.0030013553863634,"NPC"
"NPC.IGLL1",3.01361808890788e-07,1.89894210825753,0.702,0.428,0.00737703571983761,"NPC"
"NPC.SAMD9L",4.98571644356319e-07,3.24619308710158,0.368,0.083,0.0122045352821983,"NPC"
"NPC.RPL18A",5.07536290534451e-07,1.18625841213063,0.86,0.772,0.0124239808559928,"NPC"
"NPC.IFIT3",1.07386729457233e-06,6.20783488945876,0.158,0,0.0262871975038361,"NPC"
"NPC.CDK2AP2",1.71323181898193e-06,1.72050051824219,0.386,0.097,0.0419382016968587,"NPC"
"MLP.SLC35F1",1.96316931004661e-24,2.77127442070203,0.915,0.32,4.80564215406309e-20,"MLP"
"MLP.S100A9",6.33148961564001e-17,1.58022145625751,0.963,0.467,1.54988534301252e-12,"MLP"
"MLP.S100A8",5.76226615010506e-13,1.27689514862955,0.963,0.664,1.41054513088422e-08,"MLP"
"MLP.CAMP",1.90136888321966e-12,2.26862110887638,0.659,0.156,4.6543608892334e-08,"MLP"
"MLP.RASAL2",1.25511950505235e-11,2.64907272485317,0.476,0.057,3.07240703641766e-07,"MLP"
"MLP.XIST",1.35300906520182e-11,8.20950625403906,0.329,0,3.31203089070753e-07,"MLP"
"MLP.PHLDB2",1.03721755796214e-10,5.39749359837356,0.341,0.016,2.53900486013551e-06,"MLP"
"MLP.HLA-DRB1",4.66720384963e-10,1.61910012030656,0.817,0.5,1.14248483035093e-05,"MLP"
"MLP.LYZ",8.02539728778867e-10,1.38071158921475,0.89,0.508,1.96453700207779e-05,"MLP"
"MLP.XAF1",8.92628814828994e-10,2.65688173927346,0.549,0.164,2.18506607581989e-05,"MLP"
"MLP.LTF",4.94046955469669e-09,1.54031428342933,0.671,0.27,0.00012093775422942,"MLP"
"MLP.CRYGD",2.17728285665914e-08,2.6888950136417,0.341,0.041,0.000532977070481592,"MLP"
"MLP.IFIT1",5.54147831344969e-08,5.3087695840266,0.244,0.008,0.00135649847634935,"MLP"
"MLP.LCN2",3.47912271401345e-07,2.10763541690646,0.439,0.131,0.00851654449163351,"MLP"
"MLP.IFI6",5.55509665664753e-07,3.06251303505052,0.366,0.09,0.0135983211058075,"MLP"
"MLP.IFI44L",7.04013967555399e-07,2.48863549803611,0.341,0.066,0.0172335579117886,"MLP"
"MLP.IFIT3",7.36850292382744e-07,4.2251522997247,0.232,0.016,0.0180373583072372,"MLP"
"MLP.TRAF3IP3",1.81276790669643e-06,2.17382581844196,0.305,0.049,0.044374745588022,"MLP"
"EPC.S100A9",3.94469896458117e-15,2.39841349109004,0.962,0.475,9.65622859539823e-11,"EPC"
"EPC.S100A8",4.93046806398135e-15,2.05208666840271,0.981,0.613,1.20692927738199e-10,"EPC"
"EPC.SLC35F1",1.85732036194348e-12,3.56152292955921,0.75,0.238,4.54653451400144e-08,"EPC"
"EPC.CAMP",6.41626649152002e-11,3.018446894159,0.654,0.1,1.57063787445919e-06,"EPC"
"EPC.S100A12",6.81816978758902e-10,1.48932343560406,0.635,0.112,1.66901978230392e-05,"EPC"
"EPC.XIST",1.94177256181826e-08,7.58554241516127,0.346,0,0.000475326505407493,"EPC"
"EPC.LTF",7.3780194570354e-08,2.47700084624369,0.673,0.238,0.0018060653828877,"EPC"
"EPC.MNDA",1.38067252050322e-07,2.52578922209614,0.519,0.1,0.00337974826293983,"EPC"
"EPC.PGLYRP1",3.57798427456399e-07,5.16799856677058,0.327,0.013,0.0087585477057052,"EPC"
"EPC.LYZ",1.19305227350227e-06,1.63210141614842,0.808,0.525,0.029204726603062,"EPC"
"EPC.HLA-B",1.82423186102228e-06,1.19081226175125,0.923,0.938,0.0446553717259644,"EPC"
"MEP.SLC35F1",7.14760106153141e-07,2.70057005063315,0.473,0.137,0.0174966126385227,"MEP"
"MEP.CAMP",9.51205159325413e-07,1.01146602032238,0.618,0.196,0.0232845510951268,"MEP"
"MPP3.XIST",9.27837422778374e-12,9.56335354728548,0.316,0,2.27125322721918e-07,"MPP3"
"MPP3.IFIT1",9.27837422778374e-12,9.4314727005915,0.316,0,2.27125322721918e-07,"MPP3"
"MPP3.CDYL2",3.23075105609484e-08,8.07208534720154,0.211,0,0.000790855551021455,"MPP3"
"MPP3.ISG15",1.62336035187938e-07,4.01681548112768,0.421,0.049,0.00397382380536554,"MPP3"
"MPP3.S100A12",2.34276053383079e-07,1.01783199346923,0.684,0.147,0.00573484351076439,"MPP3"
"MPP3.ECSIT",1.09852969815246e-06,3.66671440846039,0.316,0.028,0.0268909084810741,"MPP3"
"MPP3.CEACAM3",1.3658903131616e-06,5.0573573099333,0.211,0.007,0.0334356289758829,"MPP3"
